vmname,ipaddress
01-LexMPS-RDC-Web-2019-Std,10.140.30.5
02-LexMPS-ConfigSite-WS-Analytics-2012,10.140.30.6
03-LexMPS-FleetView-2012-Datacenter,10.140.30.7
04-LexMPS-Osprey-2012-Datacenter,10.140.30.8
05-LexMPS-AdminTool-2012-Datacenter,10.140.30.10
06-LexMPS-FR-DIS-2012-Datacenter,10.140.30.9
07-LexMPS-SQA-ConfigSite-WS-2012,10.140.30.12
08-LexMPS-RestServices-2012-Std,10.140.30.13
09-LexMPS-LDCM-Test-2012-Std,10.140.30.11
10-199-46-187-SPNEIGO-Ronaldscripts-ScreamingCobra,10.140.36.51
10-LexMPS-LDCM-Test-2012-Datacenter,10.140.30.14
11-LexMPS-SQA-FR-DIS-2012-Datacenter,10.140.30.17
12-Dupilicte,10.140.98.23
12-LexMPS-LDCM-Test-Win-10-Pro,10.140.30.16
2012R2-NDES-Enterprise,10.140.98.19
2012R2-SubCA-Enterprise,10.140.98.5
2K12-VM-Susmita,10.140.98.15
3RDParty-2012R2,10.140.98.24
ACS52,10.140.14.145
ACS52-3-0-40,10.140.36.4
ADDS19,10.140.99.5
ADForest-LPMTest,10.140.102.112
adminws21,10.140.31.19
adonovan-1,10.140.32.16
adonovan-2,10.140.32.13
adonovan-3-kellogg,10.140.32.10
altus2016,10.140.14.180
Ansible-Ubuntu-18-PPR,10.140.100.60
Ansible-Ubuntu-20-PPR,10.140.100.36
Ansible-Win2k16-STL-PPR,10.140.100.59
Ansible-Win2k19-STL-PPR,10.140.100.149
app-scan,10.140.14.178
ARM-Win-TEST1,10.140.97.46
ARM-Win-TEST2,10.140.97.47
ascoltosggn1,10.152.14.32
asiabldsync,10.140.107.148
ATLASPAPPVM01,10.140.105.15
ATLASPAPPVM02,10.140.105.16
ATLASPMSQLVM01,10.140.105.17
ATLASPWEBVM01,10.140.105.18
Automation-Bedanta,10.140.98.20
Automation-Run,10.140.98.7
Automation-Susmita,10.140.98.9
av-afs-1,10.140.32.11
av-afs-2,10.140.32.12
av-ahold-1,10.140.32.39
av-alix-1,10.140.32.29
av-alix-2,10.140.32.17
av-azuread-2,10.140.32.18
av-bbbeyond-2,10.140.32.19
av-bcarlson-1,10.140.32.20
av-bcarlson-2,10.140.32.30
av-boscov-1,10.140.32.4
av-calgary-1,10.140.32.34
av-chedraui-1,10.140.32.105
av-chpatel-1,10.140.32.21
av-cloud-1,10.140.32.22
av-cpierce-1,10.140.32.23
av-dbs-2017-1,10.140.32.93
av-designer-x,10.140.32.40
av-elkjop-1,10.140.32.24
AV-Grupo-Exito-App,10.140.32.97
av-guitar-center-1,10.140.32.100
av-heb-1,10.140.32.103
av-hollandb-1,10.140.32.101
av-ibmdeca-1,10.140.32.70
av-jcp-1,10.140.32.69
av-jerthomas-1,10.140.32.38
av-jkuznia-1,10.140.32.33
