NAME,VIRTUALNETWORK,VirtualNetworkTrustLevel,SUBSCRIPTION
ADForest-LPMTest,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
Aveek-Ubuntu20,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
aveek10x64-01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
aveek8x64-01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
BASEIMGUBUN20GUI,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
BASIMGCPMW1064,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
BASIMGWIN11,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPM-Cloud-MUP-WIN10,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMAutomationWin10Sdas,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMCLDRTW1020H2,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMPALLABIW1064,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMPLBIW106401,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMPNANDYDEVUS1,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMPNANDYPRDUS3,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMPNANDYQAUS2,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMPNANDYW1064,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMSBORAHWIN10,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM1,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM2,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM3,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM4,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM5,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM6,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM7,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMU22-AVM8,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMUbuntu20RSENGUPT,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMUbuntu22RSENGUPT,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM1,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM10,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM11,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM12,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM13,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM14,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM15,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM2,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM3,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM4,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM5,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM6,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM7,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM8,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW10-AVM9,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW11-AVM1,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMW11-AVM2,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMWIN10RSENGUPT01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMWIN10RSENGUPT02,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMWIN10X32,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMWin10x64SBORAH02,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
CPMWIN11RSENGUPT01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
gurudas10x64-01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
gurudas8x64-01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
kdhar07-win10x64-scan,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
LPMC-Automation-Demo,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
LPMC-Ubuntu20-DEB,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
LPMC-Ubuntu20-SDAS01,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
LPMC-WIN10x64-DEB-02,vnet-eas-cpm-dev-01,Low,R&D.CPM.DevTest
