vmname,ipaddress
DCEBUGALERAAPP01,10.140.107.22
DCEBUGALERAAPP02,10.140.107.23
DCEBUGALERAAPP03,10.140.107.24
lexbldlinux07,10.140.13.50
lexbldtest05,10.140.13.46
lexbldwin02,10.140.13.27
lexbldwin10,10.140.13.39
lexscmbld22,10.140.13.57
lexscmbld27,10.140.13.47
lexscmbld30,10.140.13.54
LXASUT22-WIN8,10.140.107.25
pacebu01,10.140.107.26
pacebu02,10.140.107.9
pacebu04,10.140.107.29
pacebu06,10.140.107.33
pacebugateway,10.140.107.27
pacebugateway1,10.140.107.28
pacebuweb,10.140.107.34
palnx1,10.140.107.18
pcebciapp01,10.140.107.65
PCEBPPQA,10.140.107.20
pcebubriarapp01,10.140.107.58
pcebubriarapp02,10.140.107.59
pcebubriarapp03,10.140.107.62
pcebubriarapp04,10.140.107.61
pcebubriarapp05,10.140.107.57
PCEBUJENKAPP04,10.140.107.55
PCEBUJENKAPP05,10.140.107.60
PCEBUJENKAPP06,10.140.107.53
PCEBUJENKAPP07,10.140.107.51
poseidon-devel-webserver,10.152.18.100
PSIG,10.140.66.11
swrelease,10.143.48.4
testvmpceb,10.140.107.68
vbl-ubuntu-22g-baseimage,10.140.15.79
VBL10,10.140.15.76
VBL4,10.140.15.77
vblprodappvm01,10.140.15.69
vblprodappvm02,10.140.15.70
vblprodappvm03,10.140.15.71
vblprodappvm04,10.140.15.72
vblprodappvm05,10.140.15.73
