NAME,ipaddress
Kinton2012R2WG1,10.140.106.147
Kinton2012R2WG2,10.140.106.148
Kinton2012R2WG3,10.140.106.149
KWin16-ITServer,10.140.106.150
LF-W16-MSSQL,10.140.106.135
LF-W16-T2-OFF,10.140.106.136
LF-W16-TEST3,10.140.106.137
LF-W2K12-TEST2,10.140.106.138
lpmcnpclnt1-190,10.140.106.152
lpmcnpclnt2-167,10.140.106.153
lpmcnplltvm-01,10.140.106.146
lpmcnplltvm-02,10.140.106.143
lpmcnptstvm-01,10.140.106.141
lpmcnptstvm-02,10.140.106.144
lpmcnptstvm-03,10.140.106.145
lpmcnpu20vm-01,10.140.106.139
lpmcnpw10x32clt,10.140.106.154
lpmcnpw11vm-02,10.140.106.140
lpmcnpw8clnt,10.140.106.151
lpmcnpwgvm-01,10.140.106.142
LPMCU22VM-01,10.140.106.134
LPMCW11VM-01,10.140.106.133
