vmname,ipaddress
datascience001,10.143.40.4
datascience01,10.143.40.5
datascience02,10.143.40.7
devsqlsrv01,10.140.107.64
lexautodirctr01,10.140.107.63
pacebu05,10.140.107.30
pacebu06,10.140.107.33
pceblextest,10.140.107.71
PCEBPPQA,10.140.107.20
pcebubundles,10.140.107.39
pcebulicsrv01,10.140.107.42
pcebumysqlsrv01,10.140.107.49
pcebuqaremtest01,10.140.107.10
pcebuqaremtest02,10.140.107.11
pcebuqaremtest03,10.140.107.12
pcebuqaremtest04,10.140.107.13
pcebusqlsrv01,10.140.107.38
pcebusqlsrv02,10.140.107.70
pcebutempwinshare01,10.140.107.45
pcebutempwinshare02,10.140.107.48
pcebutoolsrepo,10.140.107.47
pcebuwebwin01,10.140.107.37
pdsagateway,10.143.40.15
pqcsgateway01,10.143.40.16
SQA-2012-11,10.140.107.44
SQA-2016-02,10.140.107.43
testvmpceb,10.140.107.68
