vmname,ipaddress
asiabldsync,10.140.107.148
bugs,10.143.24.136
buildgenome,10.140.13.7
buildgenomereports,10.140.13.11
buildimages,10.140.13.64
buildjenkins,10.140.13.19
cebuppqagit,10.140.107.67
chinagit,10.143.43.6
chinajenkins,10.143.43.5
chinajenkins,10.140.13.10
cougar,10.140.13.12
coverity,10.140.13.14
datascience001,10.143.40.4
datascience01,10.143.40.5
datascience02,10.143.40.7
dcebscannerweb01,10.140.66.5
dcebscannerweb02,10.140.66.6
DCEBUGALERAAPP01,10.140.107.22
DCEBUGALERAAPP02,10.140.107.23
DCEBUGALERAAPP03,10.140.107.24
dcebuqueryapp01,10.140.66.7
devactivemq01,10.140.107.14
devbriarascolto01,10.140.107.15
devbriarparser01,10.140.107.41
devmariadb01,10.140.107.16
devsqlsrv01,10.140.107.64
devwatsonapi01,10.140.107.7
devwebapp01,10.140.107.17
discourse,10.140.13.9
esfjenkins,10.140.13.17
ETTANPSQLDB01,10.152.18.4
fleetjenkins,10.140.13.18
FOREMAN,10.143.24.137
fw-coverity,10.143.24.138
fwbuildprodweb1,10.143.24.133
IQTSQLSVR01,10.140.66.12
IQTSQLSVR02,10.140.66.13
issjenkins,10.140.13.20
issjenkins2,10.140.13.59
jenkins.rds,10.140.13.22
JenkinsNew,10.140.13.35
lexautodirctr01,10.140.107.63
lexbldlinux07,10.140.13.50
lexbldlinux20,10.140.13.28
lexbldlinux30,10.140.13.31
lexbldlinux31,10.140.13.32
lexbldlinux32,10.140.13.33
lexbldlinux33,10.140.13.44
lexbldlinux34,10.140.13.45
lexbldlinux35,10.140.13.30
lexbldlinux37,10.140.13.29
lexbldlinux38,10.140.13.55
lexbldlinux39,10.140.13.4
lexbldlinux45,10.140.13.38
lexbldlinux46,10.140.13.36
lexbldlinux47,10.140.13.26
lexbldlinux49,10.143.43.4
lexbldlinux52,10.140.13.49
lexbldsync,10.140.13.13
lexbldtest05,10.140.13.46
lexbldtest10,10.140.13.25
lexbldtest50,10.140.13.66
lexbldwin02,10.140.13.27
lexbldwin03,10.140.13.6
lexbldwin04,10.140.13.53
lexbldwin05,10.140.13.52
lexbldwin06,10.140.13.51
lexbldwin10,10.140.13.39
lexbldwin12,10.140.13.56
lexbldwin13,10.140.13.48
lexbldwin15,10.140.13.41
lexbldwin17,10.140.13.62
lexbldwin35,10.140.13.60
lexbldwintest20,10.140.13.58
lexscmbld22,10.140.13.57
lexscmbld23,10.140.13.40
lexscmbld27,10.140.13.47
lexscmbld30,10.140.13.54
lexscmbld35,10.140.13.61
licensereturn,10.140.13.8
LXASUT22-WIN8,10.140.107.25
mobilejenkins,10.140.13.16
netfirm,10.143.24.135
pacebu01,10.140.107.26
pacebu02,10.140.107.9
pacebu04,10.140.107.29
pacebu05,10.140.107.30
pacebu06,10.140.107.33
pacebugateway,10.140.107.27
pacebugateway1,10.140.107.28
pacebuweb,10.140.107.34
palnx1,10.140.107.18
palnx3,10.140.107.19
pazuse2vbllic01,10.140.15.78
pbriarparser01,10.143.40.10
pbriarparser02,10.143.40.12
pbriarparser03,10.143.40.13
pbriarparser04,10.143.40.14
pbriarparser05,10.143.40.8
pcebascoltonode03,10.140.107.66
pcebciapp01,10.140.107.65
pceblextest,10.140.107.71
pceblextestftp,10.140.107.46
PCEBPPQA,10.140.107.20
pcebuascolto01,10.140.107.8
pcebubriarapp01,10.140.107.58
pcebubriarapp02,10.140.107.59
pcebubriarapp03,10.140.107.62
pcebubriarapp04,10.140.107.61
pcebubriarapp05,10.140.107.57
pcebubriarmqapp06,10.140.107.54
pcebubundles,10.140.107.39
pcebugitlab01,10.140.107.36
pcebuhcsrv01,10.143.40.9
PCEBUJENKAPP01,10.140.107.31
PCEBUJENKAPP02,10.140.107.32
PCEBUJENKAPP03,10.140.107.52
PCEBUJENKAPP04,10.140.107.55
PCEBUJENKAPP05,10.140.107.60
PCEBUJENKAPP06,10.140.107.53
PCEBUJENKAPP07,10.140.107.51
PCEBUJENKSERVER01,10.140.107.50
pcebulicsrv01,10.140.107.42
pcebumariadb01,10.140.107.40
pcebumysqlsrv01,10.140.107.49
pcebunagios,10.140.107.56
PCEBUNAGWEB01,10.140.66.9
pcebuqaremtest01,10.140.107.10
pcebuqaremtest02,10.140.107.11
pcebuqaremtest03,10.140.107.12
pcebuqaremtest04,10.140.107.13
pcebusqlsrv01,10.140.107.38
pcebusqlsrv02,10.140.107.70
pcebutempwinshare01,10.140.107.45
pcebutempwinshare02,10.140.107.48
Pcebutestftpsrv01,10.140.107.35
pcebutoolsrepo,10.140.107.47
pcebuweblnx01,10.140.107.21
pcebuweblnx02,10.140.107.4
pcebuwebwin01,10.140.107.37
pdsagateway,10.143.40.15
pe-checkout,10.143.24.134
plexuirtapp01,10.143.24.140
pm2lwebscrape,10.143.40.6
poseidon-devel-webserver,10.152.18.100
pqcsgateway01,10.143.40.16
PSIG,10.140.66.11
pwatsonapi01,10.143.40.11
reviews,10.143.24.139
seleniumd,10.140.13.43
SIRIUSTSTSQL,10.140.66.14
sonarqube,10.140.13.23
SQA-2012-11,10.140.107.44
SQA-2016-02,10.140.107.43
swgitlab,10.140.13.63
swrelease,10.143.48.4
tcdevoci,10.152.13.4
techdocs,10.140.13.65
testjenkins,10.140.13.5
TestVM,10.152.18.5
testvmpceb,10.140.107.68
TFSPRODSQLDB01,10.140.13.34
Turtle,10.140.66.10
vbl-ubuntu-22g-baseimage,10.140.15.79
VBL10,10.140.15.76
VBL4,10.140.15.77
vblprodappvm01,10.140.15.69
vblprodappvm02,10.140.15.70
vblprodappvm03,10.140.15.71
vblprodappvm04,10.140.15.72
vblprodappvm05,10.140.15.73
vblprodappvm06,10.140.15.74
vblprodappvm07,10.140.15.75
vm-db3,10.140.66.8
webjenkins,10.140.13.21
