vmname,ipaddress
01-LexMPS-RDC-Web-2019-Std,10.140.30.5
02-LexMPS-ConfigSite-WS-Analytics-2012,10.140.30.6
03-LexMPS-FleetView-2012-Datacenter,10.140.30.7
04-LexMPS-Osprey-2012-Datacenter,10.140.30.8
05-LexMPS-AdminTool-2012-Datacenter,10.140.30.10
06-LexMPS-FR-DIS-2012-Datacenter,10.140.30.9
06b8ef60d5864145a74d393fa47f4110,10.0.0.18
08-LexMPS-RestServices-2012-Std,10.140.30.13
080aa7ff55684ed8802ca787647d4a76,10.0.0.19
09-LexMPS-LDCM-Test-2012-Std,10.140.30.11
098f3cd45c8a47639c1da607be830ad0,10.0.0.113
0dbc97693df14f39b060685a5066a3d6,10.0.0.58
0dec23af415f4aeaa1a8f0dcc034cd79,10.0.0.22
0e5ff00a69c24fd1ae283d30291b156c,10.0.0.29
10-LexMPS-LDCM-Test-2012-Datacenter,10.140.30.14
10b3ecf07d844c82a5325f3686c4b35c,10.0.0.21
116c6cf53ca64de4b4594b7219502ec9,10.0.0.23
12-LexMPS-LDCM-Test-Win-10-Pro,10.140.30.16
13b6976c9c74464a9bd47a8be5cf967e,10.0.0.68
1445b25cf7f64544af896f4bcfe101cc,10.0.0.12
15264c8da8a0426b8e010a17f92a1841,10.0.0.11
1554d2a3192c4456848372aedfa11171,10.0.0.19
17acc9bc136a470b8c1dca2a1accc273,10.0.0.119
1986c817bd084521a2065fa478c91986,10.0.0.102
1edd539feced4842b2d64ea87bd7cfec,10.0.0.115
227a15c9191f41c58cf8d9b4b3255cd6,10.0.0.24
22aaab276ffd428d9521abb17f1df5e6,10.0.0.31
22b97e3bc6724fbc8160395f05d0f6d4,10.0.0.30
22d25cd08a5347ef89f94bf724e7596a,10.0.0.32
241d958a4f1f4393a7e22f778b7f04ce,10.0.0.27
251b9c6fa5f349529d1d595077a3ce5e,10.0.0.47
25d0101987934e3993ad917a3e367fd9,10.0.0.61
27d0c4f36a634144a9fb3f2b917715a8,10.0.0.25
29a54087528943bab444e0730d6e43ae,10.0.0.22
2ad9c95b3c3d4e5a8e6b3b916507e1c2,10.0.0.124
2c142e98f3674872a1c8270375e1ad03,10.0.0.46
2de2f326985b483f8223239ac998f4d9,10.0.0.38
2e03266592b740a1981622f0e02abbde,10.0.0.14
3541ad9e887640b4b272741aad12081c,10.0.0.26
3678cea07b5d4d3ea403387bf35ce222,10.0.0.26
385496781ab945abb1485afe9a5323ff,10.0.0.22
3b7217e3e7bd4fb7bd7ed3806cc37b12,10.0.0.20
3c13c8809be944f5a45c27df04c6b83b,10.0.0.18
3e03f94a1880431da635bd710b9dc7df,10.0.0.33
4050557f65414bd5bd176a8fd286f0dd,10.0.0.15
40a659c9352849d3a236e8a0d4f840d4,10.0.0.42
40e2aedf1cdd48028af4d96794e29b2c,10.0.0.13
