NAME,VIRTUALNETWORK,TrustLevel,SUBSCRIPTION,IPADDRESS
ARM-CSETEST-VM,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.73
ARM-TEST-VM2,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.74
EMBTSTWIN16,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.14
etcnpw16vm-01,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.34
etcnpw19vm-01,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.37
ETTANPNLS,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.71
ettanpnlsdev,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.66
ettanpstydash,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.64
ettanptcm,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.67
ettanptcmdevnw,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.65
ettanptcmnew,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.68
ettanpwcsft,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.69
ettanpwebft,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.70
EXTRAVIEW-REPLICA-DEV,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.72
ISOFSERVER,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.44
MSDN-2012R2-RFAX,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.43
MSDN-AJAX-DC,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.27
MSDN-ANANKE-APP,vnet-eas-etl-np-01,Low,R&D.EmbeddedTest.DevTest,10.140.108.26
