"Indicator type","Indicator","Description"
"IPv4","107.189.11.124","CC=LU ASN=AS53667 PONYNET"
"FileHash-MD5","109f0f02fd37c84bfc7508d4227d7ed5",""
"FileHash-MD5","52c47fdda399b011b163812c46ea94a6",""
"FileHash-MD5","6352540cf679dfec21aff6bd9dee3770",""
"FileHash-MD5","66cf4ebdceedecd9214caab7ca87908d",""
"FileHash-MD5","6ae17cb76cdf097d4dc4fcccfb5abd8a",""
"FileHash-MD5","7587bf9cb4147022cd5681b015183046",""
"FileHash-MD5","8f73c08a9660691143661bf7332c3c27",""
"FileHash-MD5","a2ee53de9167bf0d6c019303b7ca84e5",""
"FileHash-MD5","bfac4e3c5908856ba17d41edcd455a51",""
"FileHash-MD5","da82d43043c101f25633c258f527c9d5",""
"FileHash-MD5","e477a96c8f2b18d6b5c27bde49c990bf",""
"FileHash-MD5","e9a3562f3851dd2dba27f90b5b2d15c0",""
"FileHash-MD5","ef2834ac4ee7d6724f255beaf527e635",""
"FileHash-SHA1","2a3c737fa1157e8483815e98b666408a18c0db42","SHA1 of a2ee53de9167bf0d6c019303b7ca84e5
SHA1 of a2ee53de9167bf0d6c019303b7ca84e5"
"FileHash-SHA1","37fa65dd737c50fda710fdbde89e51374d0c204a","SHA1 of 8f73c08a9660691143661bf7332c3c27
SHA1 of 8f73c08a9660691143661bf7332c3c27"
"FileHash-SHA1","5be8c1e73a21b49f353c2ecfa4108e43a883cb7b","SHA1 of ef2834ac4ee7d6724f255beaf527e635"
"FileHash-SHA1","8b0b4d9ad3afbabddcc3d7011398ee003ebe9b20","SHA1 of 66cf4ebdceedecd9214caab7ca87908d"
"FileHash-SHA1","8eec7e888767aa9e4cca8ff246eb2aacb9170428","SHA1 of bfac4e3c5908856ba17d41edcd455a51"
"FileHash-SHA1","e980c9bf41330d1e5bd04556db4646a0210f7409","SHA1 of e477a96c8f2b18d6b5c27bde49c990bf"
"FileHash-SHA1","ef7420141bb15ac334d3964082361a460bfdb975","SHA1 of 109f0f02fd37c84bfc7508d4227d7ed5"
"FileHash-SHA1","f2106306a8f6f0da5afb7fc765cfa0757ad5a628","SHA1 of 7587bf9cb4147022cd5681b015183046"
"FileHash-SHA256","16574f51785b0e2fc29c2c61477eb47bb39f714829999511dc8952b43ab17660","SHA256 of e477a96c8f2b18d6b5c27bde49c990bf"
"FileHash-SHA256","1a3fdfcb35b5811ea082bd308b0b1bf6dfdabbf527772ba1c6e69a7390e0b674","SHA256 of 66cf4ebdceedecd9214caab7ca87908d"
"FileHash-SHA256","334e69ac9367f708ce601a6f490ff227d6c20636da5222f148b25831d22e13d4","SHA256 of 109f0f02fd37c84bfc7508d4227d7ed5"
"FileHash-SHA256","3fe6b1c54b8cf28f571e0c5d6636b4069a8ab00b4f11dd842cfec00691d0c9cd","SHA256 of 8f73c08a9660691143661bf7332c3c27
SHA256 of 8f73c08a9660691143661bf7332c3c27"
"FileHash-SHA256","43536adef2ddcc811c28d35fa6ce3031029a2424ad393989db36169ff2995083","SHA256 of a2ee53de9167bf0d6c019303b7ca84e5
SHA256 of a2ee53de9167bf0d6c019303b7ca84e5"
"FileHash-SHA256","a770ecba3b08bbabd0a567fc978e50615f8b346709f8eb3cfacf3faab24090ba","SHA256 of ef2834ac4ee7d6724f255beaf527e635"
"FileHash-SHA256","c40bb03199a2054dabfc7a8e01d6098e91de7193619effbd0f142a7bf031c14d","SHA256 of 7587bf9cb4147022cd5681b015183046"
"FileHash-SHA256","e2935b5b28550d47dc971f456d6961f20d1633b4892998750140e0eaa9ae9d78","SHA256 of bfac4e3c5908856ba17d41edcd455a51"
"IPv4","195.201.250.209","CC=DE ASN=AS24940 Hetzner Online GmbH"
"IPv4","5.252.178.50","CC=RO ASN=AS39798 MivoCloud SRL"
"URL","http://files.getsnyper.com/files/msteams/Setup.iso",""
"URL","http://files.getsnyper.com/files/msteamsww/Setup.iso",""
"URL","http://files.getsnyper.com/files/windows11/Setup.iso",""
"domain","ms-teams-app.net",""
"domain","ms-win11.com",""
"domain","win11-serv.com",""
"domain","win11-serv4.com",""
"domain","win11install.com",""
"hostname","ms-win11.midlandscancer.com",""
