"Indicator type","Indicator","Description"
"IPv4","199.127.62.3","CC=US ASN=AS23470 RELIABLESITE"
"IPv4","45.132.106.77","CC=NL ASN=AS204601 Zomro B.V."
"IPv4","45.15.156.70","CC=NL ASN=AS211409 Shelter LLC"
"IPv4","5.34.180.208","CC=NL ASN=AS21100 ITL LLC"
"IPv4","94.142.138.218","CC=RU ASN=AS211409 Shelter LLC"
"FileHash-MD5","70f94249a7323d9711488e6d4e69ab38","MD5 of adb6808f97191d961687b5f30f35c843686699d70f482f4d7d8d4f41e84faba6"
"FileHash-MD5","d22d0def65e036e3c94100be6f232d3c","MD5 of 1beb12971e69fb4040d60a6bd3667cb24c48a3db0fbf814d629874ee40312405"
"FileHash-MD5","d30c13d9bfe560545231e9d5e66d7fe1","MD5 of cdb09a5df36fece23bc3c9df101fe65724327b827ec43aa9ce0b3b76bdcc3101"
"FileHash-MD5","fe9d3fd7e0081a0f875383fb1aafe2a4","MD5 of 5c9f5082e44e91e1aed15261e82216e59f2668ec5b25348526aad98472c5d722"
"FileHash-SHA1","3969be2d57943ce169f5acc3803639f3ef4d5ff9","SHA1 of 5c9f5082e44e91e1aed15261e82216e59f2668ec5b25348526aad98472c5d722"
"FileHash-SHA1","8605a805ec407195b33423e55737d1871c95bc0c","SHA1 of cdb09a5df36fece23bc3c9df101fe65724327b827ec43aa9ce0b3b76bdcc3101"
"FileHash-SHA1","8914709ba612eeca93fd10442fa864ead8be4216","SHA1 of adb6808f97191d961687b5f30f35c843686699d70f482f4d7d8d4f41e84faba6"
"FileHash-SHA1","f483bcfd5a7a450349699c18d90af3e73c413b5a","SHA1 of 1beb12971e69fb4040d60a6bd3667cb24c48a3db0fbf814d629874ee40312405"
"FileHash-SHA256","095b9e90e1c9d7d95f362fe381512da60bb31727c068c6dfabe055ab387aed82",""
"FileHash-SHA256","0b478f9ed769603bba01ad7a2d6936a28424e4be05c8833869976aa77a98fed3",""
"FileHash-SHA256","11cc3e4b8413a1b8c0c0d7193c2f26670d4765f96e797140c809d4a0655f9cb4",""
"FileHash-SHA256","1beb12971e69fb4040d60a6bd3667cb24c48a3db0fbf814d629874ee40312405",""
"FileHash-SHA256","2c540f5220b7ba3cd6efcd2fe8091fc24f8da11be4b1782c4e502261ef48da82",""
"FileHash-SHA256","380978251b2c661ff15b2610763770dfa14fb360ad0ca64243e0d5d5893952cb",""
"FileHash-SHA256","3c3622ab5f449166ad804ee73fde6aedf6934aa960701f7edefca9b5aedfffd8",""
"FileHash-SHA256","4accbeea02170cb5215fbe937fabae030986f84ee7acc983cc15ce120e073861",""
"FileHash-SHA256","5c9f5082e44e91e1aed15261e82216e59f2668ec5b25348526aad98472c5d722",""
"FileHash-SHA256","5e4b6272dc2d955c5e52c755ea598f44e324b04466a4e3bacf6c9d845345322b",""
"FileHash-SHA256","66383d931f13bcdd07ca6aa50030968e44d8607cf19bdaf70ed4f9ac704ac4d1",""
"FileHash-SHA256","737f6c8e1a8ea4a9064a0cfaa4ceed495481d9bb133ed5d6bfeda3a83351af9d",""
"FileHash-SHA256","780285087fb35911db189ba92c6c8d251a1f640b3a473e0ce7ea27f59cde492b",""
"FileHash-SHA256","7ed926820973cd3c14b783109094604369e37cc06cb08a338b856f4e5cf2684c",""
"FileHash-SHA256","a4cab01d61d8c18876d4b53d52de365fb9b512430371fd4217359159f3c507f6",""
"FileHash-SHA256","adb6808f97191d961687b5f30f35c843686699d70f482f4d7d8d4f41e84faba6",""
"FileHash-SHA256","b299898055262e065afd5b0479b2e3a190e314cab3ead3722b2cdbe3534a2681",""
"FileHash-SHA256","bb9a16632ae94bbfae713f56c51dc5d2ff6199ccd051e2285ea90c6dfeb5d4b1",""
"FileHash-SHA256","c1dafead343c67d203d2fa9050967fea868fc517f8d66b23cc166642d8b7985b",""
"FileHash-SHA256","cc79ef40d93c939c43624504461ec5ddf8279624ae88a739e7382c181e18104b",""
"FileHash-SHA256","cdb09a5df36fece23bc3c9df101fe65724327b827ec43aa9ce0b3b76bdcc3101",""
"FileHash-SHA256","df99a29a0fd7f62e3798260b2068c711a5356346b7b0c0477e30643138345fba",""
"FileHash-SHA256","e18455804b8a6a008a2b357265802ad35f6441bbcc359ab5bd5df994f201ab36",""
"FileHash-SHA256","e827cde3646048c9e09a61eeb45cc37f1d8a20190762c513ddf1e9dc13e4b897",""
"FileHash-SHA256","e8cccc9f9b124826c0e43897f0e21124b4b0cd7991f434b0dd7838bed7e361b3",""
"FileHash-SHA256","fa2cfb4b76c38ab4cef4592ed703a8866ffffec67adbe9ea057882b47a4bd7b7",""
"FileHash-SHA256","ffd1f682649507fd850a8faf76b4c3c498dbcbef70bd0202126b91f24d5c1408",""
"IPv4","199.247.24.79","CC=NL ASN=AS20473 AS-CHOOPA"
"IPv4","45.15.156.182","CC=NL ASN=AS211409 Shelter LLC"
"IPv4","94.142.138.73","CC=RU ASN=AS211409 Shelter LLC"
"IPv4","94.142.138.84","CC=RU ASN=AS211409 Shelter LLC"
"domain","all-free-software.online",""
"domain","allfreesoftware.online",""
"domain","chatgptex.us",""
"domain","cv-builder.site",""
"domain","jobseeker.com",""
"domain","siamaster.com.mx",""
