"Indicatortype","Indicator","Description"
"domain","cityfederalcv.com",""
"domain","crossvalleyfcv.org",""
"domain","oufcv.com",""
"domain","portconnfcuu.com",""
"domain","triboro-fcv.org",""
"domain","0mx1lntastantretatlanpassword.com",""
"domain","0mxus3rauthkeepsame.com",""
"domain","10311landex.com",""
"domain","206pms.com",""
"domain","2nbskull.com",""
"domain","34533teams.xyz",""
"domain","365jhsgbxsncnsuye67.live",""
"domain","365maineventco.com",""
"domain","365voicemessage.com",""
"domain","3dfzlrtsiwfibvfyql96zt.live",""
"domain","455b3105mssvr.ml",""
"domain","5d4ba5ca-d814-4049-8ea3-af505f6e1e01.info",""
"domain","5thcolumn.accountant",""
"domain","7dmjmg20p8mty1nzexnjgzoc40ljeumty1nzexnzqxny4yng.co",""
"domain","7dmjmg20p8mty1ody5mjm4ms4xms4x.live",""
"domain","aaaaclub.net",""
"domain","aaaaoffice635u.com",""
"domain","abg-serviices.com",""
"domain","accionabdjv.ca",""
"domain","accvcam.com",""
"domain","acehomproducts.com",""
"domain","acqureioil.com",""
"domain","acuciondi.com",""
"domain","adlokali.com",""
"domain","adobe-06195.com",""
"domain","adobe-20648.com",""
"domain","adobe-54836.com",""
"domain","adobe-69451.com",""
"domain","adobe-91506.com",""
"domain","agoaci.click",""
"domain","agre-ae.com",""
"domain","agronne.com",""
"domain","aibels.com",""
"domain","aibie.me",""
"domain","aimedical.click",""
"domain","ainorsigns.co",""
"domain","ainswat.com",""
"domain","aismare.us",""
"domain","alamarcosmetics.xyz",""
"domain","alamoudiexchang-online.com",""
"domain","alamoudiexchange-online.com",""
"domain","alexmakanaki.com",""
"domain","almflrm.com",""
"domain","alnapeckagingco.com",""
"domain","altoma-report.com",""
"domain","am-jlll.com",""
"domain","amat-us.com",""
"domain","ambleasia.co",""
"domain","aminocx.xyz",""
"domain","appsinfo.xyz",""
"domain","aqriko.com",""
"domain","aquitainewine.click",""
"domain","araedt.com",""
"domain","aritcac.com",""
"domain","ascisoft.com",""
"domain","asdfghgfdsa.com",""
"domain","asianwaterjet.com",""
"domain","asn4.xyz",""
"domain","assetprovidingsupport.xyz",""
"domain","assoulne.com",""
"domain","atg1.xyz",""
"domain","atg2.xyz",""
"domain","audlgreenville.com",""
"domain","aufdreworld.com",""
"domain","auhrticezemkrt.com",""
"domain","auth17.com",""
"domain","autsolut.net",""
"domain","avantscapital.com",""
"domain","avis-corporation.com",""
"domain","azurenetworksauthx.us",""
