"Indicator type","Indicator","Description"
"IPv4","58.180.56.28","CC=KR ASN=AS4670 Shinbiro"
"hostname","xw.xxuz.com",""
"FileHash-MD5","0328257d3ada2bda3453282ef867810c","MD5 of a375ae44c8ecb158895356d1519fe374dc99c4c6b13f826529c71fb1d47095c3"
"FileHash-MD5","2da47fb98bb6f1434d782e01b087d284","MD5 of 4311c24670172957b4b0fb7ca9898451878faeb5dcec75f7920f1f7ad339d958"
"FileHash-MD5","fd2f5101cc0572707631f0319fc18514","MD5 of d0bc30c940b525e7307eca0df85f1d97060ccd4df5761c952811673bc21bc794"
"FileHash-SHA1","7d58e51aee7da91dc93025854712cee47ed03101","SHA1 of a375ae44c8ecb158895356d1519fe374dc99c4c6b13f826529c71fb1d47095c3"
"FileHash-SHA1","bae69d525189a946efd99fc15649fa26cdb69699","SHA1 of d0bc30c940b525e7307eca0df85f1d97060ccd4df5761c952811673bc21bc794"
"FileHash-SHA1","bf716908d57812db9605408c5113960fb982f3cb","SHA1 of 4311c24670172957b4b0fb7ca9898451878faeb5dcec75f7920f1f7ad339d958"
"FileHash-SHA256","4311c24670172957b4b0fb7ca9898451878faeb5dcec75f7920f1f7ad339d958",""
"FileHash-SHA256","854bb57bbd22b64679b3574724fafd7f9de23f5f71365b1dd8757286cec87430",""
"FileHash-SHA256","a375ae44c8ecb158895356d1519fe374dc99c4c6b13f826529c71fb1d47095c3",""
"FileHash-SHA256","d0bc30c940b525e7307eca0df85f1d97060ccd4df5761c952811673bc21bc794",""
"FileHash-SHA256","eb7b33b436d034b2992c4f40082ba48c744d546daa3b49be8564f2c509bd80e9",""
"FileHash-SHA256","f29a311d62c54bbb01f675db9864f4ab0b3483e6cfdd15a745d4943029dcdf14",""
"IPv4","106.251.252.83","CC=KR ASN=AS3786 LG DACOM Corporation"
"IPv4","183.111.148.147","CC=KR ASN=AS4766 Korea Telecom"
"URL","http://106.251.252.83/sql64.dll",""
"URL","http://183.111.148.147/sql64.dll",""
"URL","http://58.180.56.28/sql64.dll","a375ae44c8ecb158895356d1519fe374dc99c4c6b13f826529c71fb1d47095c3"
"URL","http://58.180.56.28/vv61599.exe",""
