"Indicator type","Indicator","Description"
"FileHash-MD5","aa573f375a0587af662f613f5399fedd","MD5 of 290f8c0ce754078e27be3ed2ee6eff95c4e10b71690e25bbcf452481a4e09b9d"
"FileHash-MD5","bdf9b7e0b11798a71e80cd222b643b1f","MD5 of 1d5681ff4e2bc0134981e1c62ce70506eb0b6619c27ae384552fe3bdc904205c"
"FileHash-SHA1","7d287e7abcd0871b440e6b797bfe14d9ac6a7548","SHA1 of 1d5681ff4e2bc0134981e1c62ce70506eb0b6619c27ae384552fe3bdc904205c"
"FileHash-SHA1","ca8756755ddd3ac7cf5cc7709a0302e829c72d04","SHA1 of 290f8c0ce754078e27be3ed2ee6eff95c4e10b71690e25bbcf452481a4e09b9d"
"FileHash-SHA256","1d5681ff4e2bc0134981e1c62ce70506eb0b6619c27ae384552fe3bdc904205c",""
"FileHash-SHA256","290f8c0ce754078e27be3ed2ee6eff95c4e10b71690e25bbcf452481a4e09b9d",""
"FileHash-SHA256","2996064437621bfecd159a3f71166e8c6468225e1c0189238068118deeabaa3d",""
"FileHash-SHA256","4446f5fce13dd376ebcad8a78f057c0662880fdff7fe2b51706cb5a2253aa569",""
"FileHash-SHA256","5da41d312f1b4068afabb87e40ad6de211fa59513deb4b94148c0abde5ee3bd5",""
"FileHash-SHA256","95721eedcf165cd74607f8a339d395b1234ff930408a46c37fa7822ddddceb80",""
"FileHash-SHA256","c5c39dd5c3c3253fffdd8fee796be3a9361f4bfa1e0341f021fba3dafcab9739",""
"FileHash-SHA256","d820059577dde23e99d11056265e0abf626db9937fc56afde9b75223bf309eb0",""
"FileHash-SHA256","e352ebd81a0d50da9b7148cf14897d66fd894e88eda53e897baa77b3cc21bd8a",""
