"Indicator type","Indicator","Description"
"FileHash-MD5","1cf5fed8dd989f96016d2d454642106f","MD5 of 889661009f96e35def08507e5c4f87f3c3f9cbda89de057c379687159c894b6f"
"FileHash-MD5","253eabd850242f4c7b7ff5477d4dc7e2","MD5 of b93611c248a2cda22746d6f4fafec0995074be09fdc442ec6444ddcf1bd983eb"
"FileHash-MD5","3bd4849f1e0bb5b7ba94ef87ed927ccb","MD5 of b4500e50c9e36fc4a7ad36bb5f858f488f5e50c0f13005de3a670942a5bf1083"
"FileHash-MD5","47e71c80fc20a987132e4854190f240a","MD5 of 30ff74c0d71220d45ef0da3dd84c30b9f80db6a9927078fc57ca122120daad77"
"FileHash-MD5","5d321c950b45acdb43cb69b1aca863f1","MD5 of ba83a966c001b22bd3e50eab0b0139580d668279f03f1674347d4fa98f490257"
"FileHash-MD5","76b580d484904e1e9b428b1b0caa1f8d","MD5 of 58b6ad464e81407f312718220a24cfb28aee07c6050f5833d7394df292b0d823"
"FileHash-MD5","871958f3a6f355c6117f9a224ff828b3","MD5 of 5446153bfe267e3d899660f1658954487818581da6511720a79b7120534d9048"
"FileHash-MD5","88e404e70347cd642a2e6446ae250613","MD5 of 518d70a81eb63632e41ab43025cbb203fdf076cf15f1bb368d7f7ead33aeb376"
"FileHash-MD5","978b050b6e3dc5c0c55856873e4d3c51","MD5 of a4a1f23c3667854aab31835653e31576018ebc96ce55f813c51b7d41bbae4403"
"FileHash-MD5","aa9f70dc515487c5c8dd227be180261e","MD5 of 6a66b34fa709cbadfa4e7ab68a32c570db9d66952f6696da8d4ec772a5125dab"
"FileHash-MD5","ae5fb42c5da4d0a0d2568d2e49d235dd","MD5 of a2be7fc6e01527207043f16112642dce52f0e4b18c43fa0d31ec5729ed0bd18d"
"FileHash-MD5","afcac13b43d542ac5fcb75b39ef62c00","MD5 of 71b0b37b924875bc174831db4809dd86b87f98849c500e0ea4df37888e98d115"
"FileHash-MD5","b12021b821991069bef16eb7bcbf4773","MD5 of c51c797ab4523bf3a8e68f8cdb65236c27499729fcb9f1d1c91a2eec369b256f"
"FileHash-MD5","c23c8ea1fbcaa63f4b0f72774d00e8b7","MD5 of 28c2010883cc695b68331c9b0510b239da02cdc259d65aa5cd90509453555957"
"FileHash-MD5","d8c1b448f36646df054e7ffa4023132b","MD5 of 6aefac50c06e547c31b5cdf7ddd14ded5824b39d7ac24c60569bcca2eefe90e4"
"FileHash-MD5","dd72c13e7407ea661165f724effc5eb0","MD5 of 720f3e986f79437663f2e1c08b29a8ecbda9cc9f680e7ff3d9c4248e880396ae"
"FileHash-MD5","f23334bece9d5d2711659722e8ec0982","MD5 of 5576aa2eabe7cb3319dc13e48fdf49e2f20d1f68a13a8748bda50523144f3511"
"FileHash-SHA1","0d83b8474850d503ab9afd9024916092206cfa0a","SHA1 of 6a66b34fa709cbadfa4e7ab68a32c570db9d66952f6696da8d4ec772a5125dab"
"FileHash-SHA1","3af18db6922194925e857cb66d3619b7958c1daf","SHA1 of 58b6ad464e81407f312718220a24cfb28aee07c6050f5833d7394df292b0d823"
"FileHash-SHA1","3f853316a68538dc7dc1c63ade64657c16924a1b","SHA1 of ba83a966c001b22bd3e50eab0b0139580d668279f03f1674347d4fa98f490257"
"FileHash-SHA1","463413fc7f6c4d40fa3ffed108abe608e8588ad3","SHA1 of c51c797ab4523bf3a8e68f8cdb65236c27499729fcb9f1d1c91a2eec369b256f"
"FileHash-SHA1","46bb558453140e65c6b643265322a20e832d1b92","SHA1 of b4500e50c9e36fc4a7ad36bb5f858f488f5e50c0f13005de3a670942a5bf1083"
"FileHash-SHA1","4c6b8db6b710b30dc2d10f698e7d5dcc5208bfc0","SHA1 of 71b0b37b924875bc174831db4809dd86b87f98849c500e0ea4df37888e98d115"
"FileHash-SHA1","75e053984ce641c70fe76ee5f2b67355109c334a","SHA1 of 720f3e986f79437663f2e1c08b29a8ecbda9cc9f680e7ff3d9c4248e880396ae"
"FileHash-SHA1","7d864f06a02ebe9fcce7268f4cb27ade7cbcf7a5","SHA1 of 889661009f96e35def08507e5c4f87f3c3f9cbda89de057c379687159c894b6f"
"FileHash-SHA1","9aa2b00050fc50a30e727026f32403c3754c06d3","SHA1 of 518d70a81eb63632e41ab43025cbb203fdf076cf15f1bb368d7f7ead33aeb376"
"FileHash-SHA1","cbb9245cff9bc2cec06451232b6500dfeef5fcc1","SHA1 of 6aefac50c06e547c31b5cdf7ddd14ded5824b39d7ac24c60569bcca2eefe90e4"
"FileHash-SHA1","d1e70d616cf91cf432c2352708b6320f1eddd1b4","SHA1 of 30ff74c0d71220d45ef0da3dd84c30b9f80db6a9927078fc57ca122120daad77"
"FileHash-SHA1","d6d6059e910f7b9fc923a314242a7b0952dc90f2","SHA1 of b93611c248a2cda22746d6f4fafec0995074be09fdc442ec6444ddcf1bd983eb"
"FileHash-SHA1","de012ebbff8681f29f1c6745a80cac98071db12f","SHA1 of 5446153bfe267e3d899660f1658954487818581da6511720a79b7120534d9048"
"FileHash-SHA1","e4ad56f673f548198aba777de0e4bf3e54550101","SHA1 of 5576aa2eabe7cb3319dc13e48fdf49e2f20d1f68a13a8748bda50523144f3511"
"FileHash-SHA1","eb5b72fc2e4973ec850b5a0db53f0a38c003f8f0","SHA1 of a2be7fc6e01527207043f16112642dce52f0e4b18c43fa0d31ec5729ed0bd18d"
"FileHash-SHA1","ee12769ecc4515421e07b0c07e6aa12a7bede929","SHA1 of a4a1f23c3667854aab31835653e31576018ebc96ce55f813c51b7d41bbae4403"
"FileHash-SHA1","f177a22557a20731fbed6c4d29633d3def8d15bd","SHA1 of 28c2010883cc695b68331c9b0510b239da02cdc259d65aa5cd90509453555957"
"FileHash-SHA256","28c2010883cc695b68331c9b0510b239da02cdc259d65aa5cd90509453555957",""
"FileHash-SHA256","30ff74c0d71220d45ef0da3dd84c30b9f80db6a9927078fc57ca122120daad77",""
"FileHash-SHA256","518d70a81eb63632e41ab43025cbb203fdf076cf15f1bb368d7f7ead33aeb376",""
"FileHash-SHA256","5446153bfe267e3d899660f1658954487818581da6511720a79b7120534d9048",""
"FileHash-SHA256","5576aa2eabe7cb3319dc13e48fdf49e2f20d1f68a13a8748bda50523144f3511",""
"FileHash-SHA256","58b6ad464e81407f312718220a24cfb28aee07c6050f5833d7394df292b0d823",""
"FileHash-SHA256","6a66b34fa709cbadfa4e7ab68a32c570db9d66952f6696da8d4ec772a5125dab",""
"FileHash-SHA256","6aefac50c06e547c31b5cdf7ddd14ded5824b39d7ac24c60569bcca2eefe90e4",""
"FileHash-SHA256","71b0b37b924875bc174831db4809dd86b87f98849c500e0ea4df37888e98d115",""
"FileHash-SHA256","720f3e986f79437663f2e1c08b29a8ecbda9cc9f680e7ff3d9c4248e880396ae",""
"FileHash-SHA256","889661009f96e35def08507e5c4f87f3c3f9cbda89de057c379687159c894b6f",""
"FileHash-SHA256","a2be7fc6e01527207043f16112642dce52f0e4b18c43fa0d31ec5729ed0bd18d",""
"FileHash-SHA256","a4a1f23c3667854aab31835653e31576018ebc96ce55f813c51b7d41bbae4403",""
"FileHash-SHA256","b4500e50c9e36fc4a7ad36bb5f858f488f5e50c0f13005de3a670942a5bf1083",""
"FileHash-SHA256","b93611c248a2cda22746d6f4fafec0995074be09fdc442ec6444ddcf1bd983eb",""
"FileHash-SHA256","ba83a966c001b22bd3e50eab0b0139580d668279f03f1674347d4fa98f490257",""
"FileHash-SHA256","c51c797ab4523bf3a8e68f8cdb65236c27499729fcb9f1d1c91a2eec369b256f",""
"FileHash-MD5","253f4223f7481838c978d3fc91f4c6fd","MD5 of 45ac28cd293e8a271938baf9fc6424abe043217aa2feef6608d2496c89f5bb6e"
"FileHash-MD5","26f4ce1ec1cb0322e5edaed4a34902c1","MD5 of f2a4ccecf516367cf5350cf69713bf5645021afb210d07329b468cf92ec0acec"
"FileHash-MD5","650fc2a88e0c87040cebf79656db27f2","MD5 of e337aecd0011db4333325bbf118966d4df171acfe7315ae823b2af29d2640689"
"FileHash-MD5","8f561c3446e0600bf53fa0979533867b","MD5 of 1c15903d27a61b67537d96d898951b453d89ed17fd11a60d3f33e5a1b8ea97b0"
"FileHash-SHA1","c17325dc9b86501864915400f1b67d3a7972d15f","SHA1 of e337aecd0011db4333325bbf118966d4df171acfe7315ae823b2af29d2640689"
"FileHash-SHA1","c94d308974d22002ed2cd392a8d4d82cb49fb628","SHA1 of 1c15903d27a61b67537d96d898951b453d89ed17fd11a60d3f33e5a1b8ea97b0"
"FileHash-SHA1","d30c56380eb8dc7ec0638b15c33f74a18d3b11c6","SHA1 of f2a4ccecf516367cf5350cf69713bf5645021afb210d07329b468cf92ec0acec"
"FileHash-SHA1","f2ba1394d3c6ab7b2125e1f5295c85507e8a6393","SHA1 of 45ac28cd293e8a271938baf9fc6424abe043217aa2feef6608d2496c89f5bb6e"
"FileHash-SHA256","000d571e1d10230875ca13ef30d16c907bad7c09e69ed6fbf0e8118beb61a6c8",""
"FileHash-SHA256","004a7d95f071128023d0134be053d50a2814f86c3d7ee1263cb980c9ff54406b",""
"FileHash-SHA256","1690e57544df5027e2cd5993ebc306e6299142829ff76ac029ac48c2fd81bd32",""
"FileHash-SHA256","1c15903d27a61b67537d96d898951b453d89ed17fd11a60d3f33e5a1b8ea97b0",""
"FileHash-SHA256","24a941e8182a71543a5d783f6f486ed945f0812c77da2420d92d79937e63aac7",""
"FileHash-SHA256","25b0552a49bf431943e68b3ca40956b4accd9be120eaae49692b1000a4994906",""
"FileHash-SHA256","30fbad2855441a181433233d48535c05f1cb1563283fe6ebe5e1758bc170f533",""
"FileHash-SHA256","37e2a266057551452b675810441633a04bfc968a09303fdfa40e829a3c64560f",""
"FileHash-SHA256","3d81cbe53bb4bf5918fc6da76394a0d87c9a33e77c4920691873d22e3d8296c0",""
"FileHash-SHA256","4155dd6b5b05ae09a8661f1f2593a3143e693c2de5db11a3fb158562b2a71794",""
"FileHash-SHA256","420d11efeed9a20419e7b15c1ff1debb75d60d83ca55ab1115080b53e8ba7240",""
"FileHash-SHA256","45ac28cd293e8a271938baf9fc6424abe043217aa2feef6608d2496c89f5bb6e",""
"FileHash-SHA256","4909a0d960b73dcb3b6873867a813c107d770a734e2d6abb4a0df12401094d08",""
"FileHash-SHA256","4e10db19712ee8c3c2317c24ea3bbff993b907e9f79a688a6f1b4971504644e6",""
"FileHash-SHA256","4e74b8f75b546a0385b5833d1d619ee909375de35c9f72192e4cd5cc9fc6874d",""
"FileHash-SHA256","50e29d470f158942d2b5b98d960a7ff9e8363ba244a675f91e35877e4e056b87",""
"FileHash-SHA256","58178941d24b17f1054bd89c359c5dc294854dd0394a83429c6db47b29de05ed",""
"FileHash-SHA256","58af067cccdec7e7500db8ba129b01f832cffe333ef236c723bc9f7c44c0b25b",""
