"Indicatortype","Indicator","Description"
"hostname","freedns.afraid.org",""
"IPv4","5.199.173.4","CC=LT ASN=AS16125 UAB Cherry Servers"
"IPv4","5.252.176.22","CC=RU ASN=AS39798 MivoCloud SRL"
"IPv4","5.252.176.63","CC=RU ASN=AS39798 MivoCloud SRL"
"IPv4","83.166.240.52","CC=RU ASN=AS24936 Plusinfo OOO"
"FileHash-MD5","19bf6d9f909b0a786d85f290a3856043","MD5 of 85cdad039eaded7cabd7264e5f2a61dc57cadeead7019f476792d844d7c2934e"
"FileHash-MD5","3e4bae3b6d0addd08553fcbd8a2e2d24",""
"FileHash-MD5","53ccdb89ff5b0bbfc4702a3821fb36fb","MD5 of 57edc8b94c7595c41b24fc0c9b44a13f4ce945e4"
"FileHash-SHA1","355179631e44dad1b74c77bbedf88837e6bcc9b8","SHA1 of 85cdad039eaded7cabd7264e5f2a61dc57cadeead7019f476792d844d7c2934e"
"FileHash-SHA256","0375f4b3fe011b35e6575133539441009d015ebecbee78b578c3ed04e0f22568",""
"FileHash-SHA256","4996180b2fa1045aab5d36f46983e91dadeebfd4f765d69fa50eba4edf310acf",""
"FileHash-SHA256","84a2ed4270aaee360019f8136e464fbddb83d20ade79b43b712c711a632dfa14",""
"FileHash-SHA256","85cdad039eaded7cabd7264e5f2a61dc57cadeead7019f476792d844d7c2934e",""
"FileHash-SHA256","e47db5ef2a23a156856b5ea3b156a32fc8b26fb1a5c496f62e74c8ca8bf4b924",""
"FileHash-SHA256","fa075deeb0af84792a08f6be728ea15f1cf6183443cc5ee8a0632c7b4209675f",""
"domain","ads-tm-glb.click",""
"domain","allowlisted.net",""
"domain","atlas-upd.com",""
"domain","claudfront.ml",""
"domain","claudfront.net",""
"domain","dongtaiwang.com",""
"domain","hsdps.cc",""
"domain","wmssh.com",""
"hostname","1ykaka9.hsdps.cc",""
"hostname","3e4bae3b6d0addd08553fcbd8a2e2d24.mapdatamsnsdn.info",""
"hostname","cbox4.ignorelist.com",""
"hostname","fqeel11q9.cbox4.ignorelist.com",""
"hostname","jkq9.allowlisted.net",""
"hostname","ping5.atlas-upd.com",""
"hostname","qq.74lmth4.wmssh.com",""
"hostname","rgk.74lmth4.wmssh.com",""
"hostname","tzzjim3fv6dsgplfphfq9999.ouazdkj356dbfqeel11q9.cbox4.ignorelist.com",""
"hostname","wua.40xhtgh.wmssh.com",""
"hostname","www.herdprotect.com",""
