"Indicatortype","Indicator","Description"
"URL","http://goalrom.com",""
"URL","http://pngdoma.com",""
"URL","http://robmkg.com",""
"URL","http://textmaticz.com",""
"FileHash-MD5","02c1ec61c4e740af85b818a89e77e2c2",""
"FileHash-MD5","03205e90135fd84d74af8b38d1960994",""
"FileHash-MD5","0456fa74b8cc6866c5d1ce9e15136723",""
"FileHash-MD5","09fb41e909a0bca1ab4e08cb15180e7c",""
"FileHash-MD5","0b4f0ead0482582f7a98362dbf18c219",""
"FileHash-MD5","0bd06d2c17987c7b0c167f99bb4dc0b4",""
"FileHash-MD5","0cb7936975f74ea2c4fa476a6e3d5a05",""
"FileHash-MD5","0f3685a6aca7991c209d41d0e2279861",""
"FileHash-MD5","107a084a1c8a6e9e5b3bef826c3443dc",""
"FileHash-MD5","14d9d03cbb892bbbf9939ee8fffdd2b5",""
"FileHash-MD5","15a192bb683bd47956cc91b2cfce3052",""
"FileHash-MD5","15baf177fc6230ce2fcb483b052eb539",""
"FileHash-MD5","15c62d22495ca5aa4bb996b2cb5feb7f",""
"FileHash-MD5","161fe654dded7ae74ee40f1854b9f81e",""
"FileHash-MD5","174cf10f0f320b281b3ffbf782771ad7",""
"FileHash-MD5","1aafbe60e4d00a3bffdb76fa43c2adbb",""
"FileHash-MD5","22ddb087ef3310b3f724544f74e28966",""
"FileHash-MD5","237831757f629ba61c202b51e0026c9b",""
"FileHash-MD5","237bab121e846dcfa492e7cc5966ead9",""
"FileHash-MD5","238cd8435adffdaebbf9d7489764648a",""
"FileHash-MD5","241ad2bb7e703343f477960b39a8b300",""
"FileHash-MD5","2503b8aabeeb2649915126573307b648",""
"FileHash-MD5","257754e9cd6eec6db5323e282fb16a74",""
"FileHash-MD5","29ef001568851845b84f3cd163bfd439",""
"FileHash-MD5","2a5eca9b83a999e86054e53330f68f5b",""
"FileHash-MD5","2baadb95ef832cf5eb550121fa0292d0",""
"FileHash-MD5","2c6314821c64f235e862b38dadee535e",""
"FileHash-MD5","2dbea08afe245f246b500727b7d27761",""
"FileHash-MD5","2f8817b75d81c2f029fa70de69b4a94b",""
"FileHash-MD5","2fc7211c94b7c89968acfad8c084ee3b",""
"FileHash-MD5","2fddda0dc33d3f8bab906c43982aa4a2",""
"FileHash-MD5","30ca78a99f49782942835b1c10e2834a",""
"FileHash-MD5","33f1303842bddc98205984e6acf782f7",""
"FileHash-MD5","344a41ecf89b5642b6fe0a695852aa1b",""
"FileHash-MD5","348c99a209616fc674fcabcafddba4a0",""
"FileHash-MD5","36e60c00a64baa014cf7a44cb9c9f410",""
"FileHash-MD5","3c4f409a7926731254b44ca6526dced1",""
"FileHash-MD5","3c8052862b194f205ac5138bf07adfbe",""
"FileHash-MD5","3c960dcc782a4d9552f0cc96451633c8",""
"FileHash-MD5","3c9a5a69cc928a39519178da2a8effb6",""
"FileHash-MD5","3d127901afd64eace4c7b939fdba90bb",""
"FileHash-MD5","3e0a49646b9d5d0c63036692ba1c7315",""
"FileHash-MD5","3fc5ab8a3eab1d8cff8530bbe2bae608",""
"FileHash-MD5","43a2b45d25bb898dbbcb2ee36c909d64",""
"FileHash-MD5","524909cb66848b1ee2987fdc0b69b451",""
"FileHash-MD5","52b208e86c0dde252200953a4eb71ea3",""
"FileHash-MD5","52c1e4537424e151469e8e67df07efe6",""
"FileHash-MD5","577497f9e9d4ea6070aa250b355dcfb1",""
"FileHash-MD5","578e16856061f6cb760b06b1735f9143",""
"FileHash-MD5","5ba950833dc55fe30f1e24cbcf1dea3c",""
"FileHash-MD5","5be87ec5a2f48483317a57ce120acc0e",""
"FileHash-MD5","5d9db5350e1ca2d9dacba75f4aa80ae0",""
"FileHash-MD5","609f595053d481c047d9c9b8c0f6b39c",""
"FileHash-MD5","63090a9d67ce9534126cfa70716d735f",""
"FileHash-MD5","6677b435a7455579bc063bd9f7cbe65e",""
"FileHash-MD5","6a1672401ffd7fb64dfe09a7a464067c",""
"FileHash-MD5","6aed3d8d53cb4b90ff0eda8803c7f1f5",""
"FileHash-MD5","6d0b710057c82e7ccd59a125599c8753",""
"FileHash-MD5","6e056456b2f40d2c47219c6db24d9541",""
"FileHash-MD5","6e201a9bb9945bdc816a7a9c2dcf73b9",""
"FileHash-MD5","6e79535f38248c7769365881c577df29",""
"FileHash-MD5","700b71690c7902dec10275a6ae320adf",""
"FileHash-MD5","75a3f8d143cf96c163106e21272ff170",""
"FileHash-MD5","77612466654702c7ed7c6b1c21cfaefe",""
"FileHash-MD5","77ac6332a5a4de5712b66949ac8bf582",""
"FileHash-MD5","77b4af2734782dc7fc10a6fd7978ae80",""
"FileHash-MD5","7822ff3d5008e0b870bb03ef8d2032dc",""
"FileHash-MD5","79157a3117b8d64571f60fe62c19bf17",""
