"Indicatortype","Indicator","Description"
"URL","http://apps-analyser.com/api/v1/",""
"BitcoinAddress","1L8EBHDeiHeumtcpcroaxBceXnWFiYU5dh",""
"BitcoinAddress","1Pqkb4MZwKzgSNkaX32wMwg95D9NfW9vZX",""
"BitcoinAddress","32Wx3dsHCCxyJZLwseFYkgeFqVk16tCCcF",""
"BitcoinAddress","3JvBvRuBfYvB6MjzMornj9EQpxhq9W7vXP",""
"BitcoinAddress","bc1qn6ype8u5kgj672mvsez9wz9wt9wk22tzd5vprp",""
"BitcoinAddress","bc1qxgz2g8kn2kg0wqqrmctyxu5n925pnwphzlehaw",""
"FileHash-SHA256","0bad2617ddb7586637ad81aaa32912b78497daf1f69eb9eb7385917b2c8701c2",""
"FileHash-SHA256","0cb5c69e8e85f44725105432de551090b28530be8948cc730e4b0d901748ff6f",""
"FileHash-SHA256","0de9a23f88b9b7bda3da989dce7ad014112d88100dceaabca072d6672522be26",""
"FileHash-SHA256","1d6845c7b92d6eb70464a35b6075365872c0ae40890133f4d7dd17ea066f8481",""
"FileHash-SHA256","23b9075dac7dbf712732bb81ecd2c21259f384eb79ae8fdebe29b7c5a12d0519",""
"FileHash-SHA256","3fe448df20c8474730415f07d05bef3011486ec1e070c67683c5034ec76a2fcb",""
"FileHash-SHA256","4da1352e3415faa393e4d088b5d54d501c8d2a9be9af1362ca5cc0a799204b37",""
"FileHash-SHA256","5c5202ed975d6647bd157ea494d0a09aac41d686bcf39b16a870422fa77a9add",""
"FileHash-SHA256","705deecbbb6fd4855df3de254057c90150255c947b0fb985ea1e0f923f75a95f",""
"FileHash-SHA256","7107ab14a1760c6dccd25bf5e22221134a23401595d10c707f023f8ca5f1b854",""
"FileHash-SHA256","71c54c3bcffce591a70c0b5ba6448327bc975d89f3021053125f1cb9a7c0af72",""
"FileHash-SHA256","7b75c1150ef10294c5b9005dbcd2ee6795423ec20c512eb16c8379b6360b6c98",""
"FileHash-SHA256","947215a1c401522d654e1d1d241e4c8ee44217dacd093b814e7f38d4c9db0289",""
"FileHash-SHA256","d7dfc84af13f49e2a242f60804b70f82efff7680cddf07f412667f998143fe9c",""
"FileHash-SHA256","ddee23e2bfd6b9d57569076029371e6e686b801131b6b503e7444359d9d8d813",""
"FileHash-SHA256","e1dc058fc8282acb95648c1ee6b0bc36b0d6b5e6853d4f602df5549e67d6d11a",""
"URL","http://api.private-chatting.com/connect",""
"domain","apps-analyser.com",""
"domain","wmail-blog.com",""
"domain","wmail-service.com",""
"hostname","api.private-chatting.com",""
"hostname","broker.emqx.io",""
