"Indicatortype","Indicator","Description"
"URL","http://65.20.75.158/0524x86110.exe",""
"IPv4","45.77.45.222","CC=SG ASN=AS20473 AS-CHOOPA"
"IPv4","5.206.224.233","CC=PT ASN=AS47674 Net Solutions - Consultoria Em Tecnologias De Informacao, Sociedade Unipessoal LDA"
"CVE","CVE-2022-30190",""
"FileHash-MD5","4e7fc2acd66d87c7a439b49196899001","MD5 of 7ed97610cdee3c69be2961543ce619485b680572"
"FileHash-MD5","57cbe529508d233e326e8e8e1ced1030","MD5 of 8b095d4f5b1ef62b40507e6155a55214243f2c85"
"FileHash-MD5","63d502f3f0771468e72346b6f1112851","MD5 of 82b0beb6fff9a90dc40b300ebf1b0ec4977ba8ad"
"FileHash-MD5","85829b792aa3a5768de66beacdb0a0ce","MD5 of 83fde764f70378b4b0610d87e86faac6dc5bc54b"
"FileHash-MD5","901af7fb4ebcaeb1dc2f8986dee0c3c5","MD5 of 70dcbbcc20addef04eae7bf66c1545a935005c69"
"FileHash-MD5","a3010ce0f8d1279000011b7d064f31d3","MD5 of 1c52a8bab1e5a107837c2d9abab1c73d571dc15d"
"FileHash-MD5","ea483ab89d8b9baf00b953f0636e0520","MD5 of b0b952334f0d0195b06faed532170263f7fad6c2"
"FileHash-SHA1","1c52a8bab1e5a107837c2d9abab1c73d571dc15d",""
"FileHash-SHA1","3c7674214e21cc4ec6a92555a1e6d1ad5c7ed36f",""
"FileHash-SHA1","64e5715d590c54a7c06baceef19e84ef672bc257",""
"FileHash-SHA1","6e9e90431e5e660071b683d121ad887d3726a4a0",""
"FileHash-SHA1","70dcbbcc20addef04eae7bf66c1545a935005c69",""
"FileHash-SHA1","7ed97610cdee3c69be2961543ce619485b680572",""
"FileHash-SHA1","82b0beb6fff9a90dc40b300ebf1b0ec4977ba8ad",""
"FileHash-SHA1","83fde764f70378b4b0610d87e86faac6dc5bc54b",""
"FileHash-SHA1","8b095d4f5b1ef62b40507e6155a55214243f2c85",""
"FileHash-SHA1","8ea0fea3e9787f270a9a23e3335b7b8e35475b06",""
"FileHash-SHA1","b0b952334f0d0195b06faed532170263f7fad6c2",""
"FileHash-SHA1","da80a38090ef8cb52e91e639ea267c4f24bf3a21",""
"FileHash-SHA256","083d27a598e1a4c93dc8a9b446ca95c4c7b7b8f2e5fc2f6020b162ead8c91bdf",""
"FileHash-SHA256","0f9dba053d177c0c31bf5d58e80b49dfa2384df38399254567bf0f81530a4abf","SHA256 of 1c52a8bab1e5a107837c2d9abab1c73d571dc15d"
"FileHash-SHA256","4f643bf57abe70e3c4ed64f05167da5d6c35f2dac1d7fda78523ab231f903575","SHA256 of 7ed97610cdee3c69be2961543ce619485b680572"
"FileHash-SHA256","5217c2a1802b0b0fe5592f9437cdfd21f87da1b6ebdc917679ed084e40096bfd","SHA256 of 82b0beb6fff9a90dc40b300ebf1b0ec4977ba8ad"
"FileHash-SHA256","5385a798d136365b644199359dc2662de3b0d6c5adc09e4cf9cada074e8a9338","SHA256 of b0b952334f0d0195b06faed532170263f7fad6c2"
"FileHash-SHA256","57e73e139dff99884e9287266ca4caf826e7ec3b5e93f737198c6bf970b982f8","SHA256 of 70dcbbcc20addef04eae7bf66c1545a935005c69"
"FileHash-SHA256","6b06af3d20fd4f35fe62151d45e4344314d26b68d886d80ad6d8a375820247cf","SHA256 of 83fde764f70378b4b0610d87e86faac6dc5bc54b"
"FileHash-SHA256","7641c3d8e2a5159333fb99a851ac8c400bb7fd62fc61c58e6016747045cab0c1","SHA256 of 8b095d4f5b1ef62b40507e6155a55214243f2c85"
"FileHash-SHA256","b16d0271ff1bc6e508dbf6a2183644926f3631038d6be30cc9e615efc5e2e903",""
"IPv4","65.20.75.158","CC=IN ASN=AS20473 AS-CHOOPA"
"URL","http://45.77.45.222:110",""
"URL","http://65.20.75.158/poc.html",""
"URL","http://files.attend-doha-expo.com/inv.html",""
"URL","http://seller-notification.live/1.html",""
"URL","http://seller-notification.live/JFhfdsfo1234vdv",""
"URL","http://seller-notification.live/Zgfbe234dg",""
"URL","http://seller-notification.live/upload_file.php",""
"URL","http://t1bet.net/poc.html",""
"URL","https://files.attend-doha-expo.com/inv.html!",""
"URL","https://seller-notification.live/JFhfdsfo1234vdv'",""
"URL","https://seller-notification.live/Zgfbe234dg'",""
"domain","secure.software",""
"domain","seller-notification.live",""
"domain","t1bet.net",""
"domain","telecomly.info",""
"domain","tibetyouthcongress.com",""
"hostname","files.attend-doha-expo.com",""
"hostname","www.telecomly.info",""
