"Indicatortype","Indicator","Description"
"URL","http://a0698649.xsph.ru/selection/headache.xml",""
"URL","http://a0698649.xsph.ru/reliance/grudge.xml",""
"URL","http://a0698649.xsph.ru/nervous/Queen.xml",""
"URL","http://a0698262.xsph.ru/see/guilty.xml",""
"URL","http://a0698262.xsph.ru/quickly/neville.xml",""
"URL","http://a0695487.xsph.ru/relationship/preservation.xml",""
"URL","http://a0695487.xsph.ru/banisters/guess.xml",""
"FileHash-MD5","1fc26cefdaa10012be05c6252033b773",""
"FileHash-MD5","2b333fc9d4ad9eed100a3644d40b4755",""
"FileHash-MD5","3d822040f77a2027643d37c063022751",""
"FileHash-MD5","419861397bb302c1e6b663d26982e578",""
"FileHash-MD5","4489ab1c55dd32ea26528d97897e71ba",""
"FileHash-MD5","5c70578e4250274b92c9618abe59b238",""
"FileHash-MD5","5dbb7b2c33635478a369b8fd40e2d8b3",""
"FileHash-MD5","680a5bcbe5b068ee433c5bc35cde5d40",""
"FileHash-MD5","8906218a0149a9ea8bffd7619b43a2c1",""
"FileHash-MD5","903f87bef3f32d010deed6de78d1ade9",""
"FileHash-MD5","91e4483615813398e61a7bef46c1e005",""
"FileHash-MD5","9c73bd03e4c5d9796e9807c036ad51e1",""
"FileHash-MD5","a407ac0d454724527b6f8da72f9ee1c0",""
"FileHash-MD5","b307698a3b5134ea0708ed2222fb42f2",""
"FileHash-MD5","b8182f549d6b08b8fe0e58f9d5292650",""
"FileHash-MD5","b8aa1ca84adea55dcc0244ff12975400",""
"FileHash-MD5","c1c7da54905571a002b467109e56d423",""
"FileHash-MD5","c57bd947e15a858f629979c8390d3414",""
"FileHash-MD5","c5977405d69f735f746354175b53f12c","MD5 of bea69eac34c2b42108c857031e5c25fe9313ed64c22ff2fc95f30504da4c5424"
"FileHash-MD5","c5da0a4385b07aa63432005b7359d3d0",""
"FileHash-MD5","c7e81154fd9906fdd91f9053a24b19ce",""
"FileHash-MD5","c88ce71fafbbccb1a8b3e5f9f8e8b771","MD5 of 47c10e67cc06c99a1d5e1f7f1f60cd516b8445df53419517e0e1f2bfdcab3e18"
