"Indicatortype","Indicator","Description"
"FileHash-MD5","6197a69f4391998acd05a250e25b7e85","MD5 of f3384e36784f88f2c83ff524f99accbc7bb3b2804a936c0d9cf10da749eca10d"
"FileHash-SHA1","17824175d4b651be570fb76858d3c79ccda08cab","SHA1 of f3384e36784f88f2c83ff524f99accbc7bb3b2804a936c0d9cf10da749eca10d"
"FileHash-SHA256","02d2c197ca966f0eb402836fcc56205f640765e3637d59d7d8bae8b462b8a926",""
"FileHash-SHA256","241588cec792a8730d747d3afcc5460ff89c20d1d05d01ea3a1fb38960d27f8c",""
"FileHash-SHA256","24c9ae7052760209c2a488cd0644f1e14042184a389f6cec48c2d7e3073980ac",""
"FileHash-SHA256","53e07cd3fc2afe5ef7f413b1e631bef16c2f898588dd3b400d821bd56eea79ca",""
"FileHash-SHA256","6adc03b1d68f678f91d6dde97dbcfc110b1ff842730008afb1c4c83da0e8d7ab",""
"FileHash-SHA256","bd1a5325142b51aa83507648c40a628f1880be08d3ae320c1a4604df41d42cd1",""
"FileHash-SHA256","d1deb6661df0414663012dac208bda9db1a6ed964d6da022ab8b4763cbb37f48",""
"FileHash-SHA256","f3384e36784f88f2c83ff524f99accbc7bb3b2804a936c0d9cf10da749eca10d",""
"FileHash-SHA256","fe93dc40b80e7a5f5ca35f5efdeefe043caffe20befaa3345ffe3560fe54518d",""
"FileHash-SHA256","ff1b335b8c25f5879935933b05a4ae0d3a424f3c6f797dbe9b3d93f5e67cc055",""
"domain","1driv.online",""
"domain","1drv-ms.live",""
"domain","1dve.live",""
"domain","a02ed-yahoo.space",""
"domain","a26edc-google.link",""
"domain","a2ec6e-google.link",""
"domain","a6e0c-google.link",""
"domain","a6e2c-yahoo.space",""
"domain","acem3q-live.online",""
"domain","active-yahoo.com",""
"domain","active-yahoo.net",""
"domain","activity-mail.online",""
"domain","activity-yahoo.com",""
"domain","activity-yahoo.link",""
"domain","adjustment-yahoo.com",""
"domain","amcham.link",""
"domain","amcham.space",""
"domain","amcham.work",""
"domain","amchamdrive.work",""
"domain","ams-live.online",""
"domain","attachment-google.link",""
"domain","attachment-live.online",""
"domain","attachment-nic.online",""
"domain","audit-yahoo.com",""
"domain","auth-yahoo.us",""
"domain","basis-services.online",""
"domain","behavior-mail.online",""
"domain","c2ae6w-yahoo.link",""
"domain","c301e-ms.live",""
"domain","c6ab2e-live.online",""
"domain","c6ae0w-yahoo.link",""
"domain","cc-microsoft.com",""
"domain","cc-yahoo-core.com",""
"domain","check-rfa.link",""
"domain","cloud-amcham.link",""
"domain","cloud-merics.live",""
"domain","cloud-nic.online",""
"domain","continue-google.link",""
"domain","credit-information.online",""
"domain","d2ac0e-yahoo.link",""
"domain","d2ecl-live.online",""
"domain","direct-yahoo.us",""
"domain","dl-attachment-0o-usercontent.online",""
"domain","docs-fidh.space",""
"domain","docs-google.link",""
"domain","docs-ms-drive.live",""
"domain","documents-google.link",""
"domain","done-yahoo.online",""
"domain","down-o0-usercontent-live.online",""
"domain","dppmail.download",""
"domain","drive-amcham.live",""
"domain","drive-attachment-usercontent.live",""
"domain","drive-fidh.space",""
"domain","drive-files-live.online",""
"domain","drive-google.download",""
"domain","drive-gov.link",""
"domain","drive-merics.online",""
"domain","drive-mofa-vn.online",""
"domain","drive-mofa.com",""
"domain","drive-ms.link",""
"domain","drive-ms.live",""
"domain","drive-nic.online",""
"domain","drive-office365.com",""
"domain","drive-protonmail.link",""
"domain","drive-purdue.live",""
"domain","drive-rfa.link",""
"domain","drive-rfa.online",""
"domain","drive-rfa.org",""
"domain","drive-yahoo.com",""
"domain","drive-yahoo.link",""
"domain","e-drive.link",""
"domain","e-files.download",""
"domain","e-mailru.online",""
"domain","e-rfa.link",""
"domain","e-rfa.us",""
"domain","edit-google.link",""
"domain","edit-live.link",""
"domain","edit-mail.com",""
"domain","edit-mail.link",""
"domain","edit-microsoft.live",""
"domain","edit-yahoo.cc",""
"domain","edit-yahoo.space",""
"domain","edit-yahoo.work",""
"domain","eid-drive.link",""
"domain","eid-yahoo.link",""
"domain","email-gov.online",""
"domain","evarchiv-dena.link",""
"domain","ex-files.download",""
"domain","exg-cloud.site",""
"domain","exg-drive.site",""
"domain","exg-secure.site",""
"domain","exg-settings.com",""
"domain","fidh-services.online",""
"domain","files-ait.link",""
"domain","files-ait.org",""
"domain","files-amcham-tw.link",""
"domain","files-amcham.link",""
"domain","files-amnesty.space",""
"domain","files-ankara.online",""
"domain","files-attachement-ms02-live.online",""
"domain","files-attachment-live.link",""
"domain","files-attachment-mail.online",""
"domain","files-cier-edu.link",""
"domain","files-cier.link",""
"domain","files-ciu.online",""
"domain","files-dena.link",""
"domain","files-dpp.org",""
"domain","files-dpp.space",""
"domain","files-dsi-go-th.link",""
"domain","files-dsi-go.space",""
"domain","files-fidh.online",""
"domain","files-fidh.org",""
"domain","files-google.link",""
"domain","files-gov.link",""
"domain","files-itamaraty-gov.space",""
"domain","files-mac.link",""
"domain","files-mail-amcham.link",""
"domain","files-mail-indsr.link",""
"domain","files-mail-merics.live",""
"domain","files-mail.link",""
"domain","files-mail.online",""
"domain","files-merics.de",""
"domain","files-merics.live",""
"domain","files-mfa.link",""
"domain","files-mne.online",""
"domain","files-mne.space",""
"domain","files-mofa.com",""
"domain","files-mofa.link",""
"domain","files-mofa.space",""
"domain","files-ms.live",""
"domain","files-ms.space",""
"domain","files-nationalawakening.online",""
"domain","files-ndc.link",""
"domain","files-nic.link",""
"domain","files-nic.online",""
"domain","files-nic.space",""
"domain","files-protonmail.com",""
"domain","files-protonmail.link",""
"domain","files-rfa.link",""
"domain","files-rfa.online",""
"domain","files-rfa.org",""
"domain","files-rfa.space",""
"domain","files-taitra.org",""
"domain","files-tgchambers.link",""
"domain","files-trade-gov.link",""
"domain","files-trade-tw.live",""
"domain","files-trade.link",""
"domain","files-web.online",""
"domain","files-yahoo.link",""
"domain","filesmofa-gov.com",""
"domain","gmailcontent.online",""
"domain","gshort.site",""
"domain","handle-yahoo.com",""
"domain","hdrive.live",""
"domain","help-rfa.link",""
"domain","inbox-live.online",""
"domain","inform-live.online",""
"domain","inform-mail.com",""
"domain","init-login.space",""
"domain","intl-mail.link",""
"domain","intl-yahoo.com",""
"domain","issue-yahoo.com",""
"domain","itamaraty-gov.com",""
"domain","iwkuaq-live.online",""
"domain","je8e61f0dm.live",""
"domain","ldrv.live",""
"domain","linkid-live.online",""
"domain","m-edit.link",""
"domain","m-goog.online",""
"domain","m-yahoo.link",""
"domain","mail-apps.online",""
"domain","mail-drive.link",""
"domain","mail-gov-files.online",""
"domain","mail2000-cloud.com",""
"domain","mailfiles.download",""
"domain","mdrive-live.com",""
"domain","medit-live.online",""
"domain","medit-mail.link",""
"domain","medit-ms.live",""
"domain","medit-yahoo.com",""
"domain","mer1cs.de",""
"domain","merics.link",""
"domain","merlcs.org",""
"domain","mg-12.site",""
"domain","mg02-ymail.online",""
"domain","mg12-login.space",""
"domain","mg12-mail.link",""
"domain","mg23-edit.link",""
"domain","microsoftauthorization.com",""
"domain","mil-files.download",""
"domain","milfiles.download",""
"domain","modify-yahoo.com",""
"domain","moea.site",""
"domain","mofa-gov.site",""
"domain","mofa-vn.online",""
"domain","mofasec.site",""
"domain","mp-yahoo.com",""
"domain","mpz2puz-yahoo.online",""
"domain","ms-live.link",""
"domain","ms-live.online",""
"domain","msauth-live.online",""
"domain","mscloud.live",""
"domain","msdocs.live",""
"domain","msdr-file.live",""
"domain","msdri.live",""
"domain","msdrive.live",""
"domain","msdrive.online",""
"domain","msdrv.com",""
"domain","msdrv.link",""
"domain","msdrv.live",""
"domain","msec.live",""
"domain","msec.site",""
"domain","msft-live.link",""
"domain","msftsec.live",""
"domain","msrc-live.online",""
"domain","msrv-live.online",""
"domain","msta2e-ms.live",""
"domain","msv-live.online",""
"domain","msykrq-live.online",""
"domain","mtp-live.online",""
"domain","my-ait.link",""
"domain","my-amnesty.link",""
"domain","my-attachment-o02-drive.online",""
"domain","my-disk.work",""
"domain","my-dpp.org",""
"domain","my-drive.link",""
"domain","my-edit.info",""
"domain","my-edit.link",""
"domain","my-files.live",""
"domain","my-files.uk",""
"domain","my-google.link",""
"domain","my-gov.online",""
"domain","my-gov.site",""
"domain","my-gov.tw",""
"domain","my-hinet.net",""
"domain","my-hinet.online",""
"domain","my-live.link",""
"domain","my-mail.link",""
"domain","my-merics.link",""
"domain","my-merics.org",""
"domain","my-mofa.space",""
"domain","my-ms.live",""
"domain","my-msdrive.online",""
"domain","my-protonmail.com",""
"domain","my-purdue.com",""
"domain","my-rfa.link",""
"domain","my-rfa.online",""
"domain","my-rfa.org",""
"domain","my-security.link",""
"domain","my-security.live",""
"domain","my-settings.link",""
"domain","my-sso.live",""
"domain","my-tgchambers.link",""
"domain","my-yahoo.link",""
"domain","my-yahoo.pw",""
"domain","my-yahoo.work",""
"domain","myactive-live.online",""
"domain","myamcham.work",""
"domain","myauth-ms.live",""
"domain","mycloud-amcham.live",""
"domain","mycloud-fidh.link",""
"domain","mycloud-gov.link",""
"domain","mycloud-live.online",""
"domain","mycloud-ms.live",""
"domain","mycloud-ndc.link",""
"domain","mycloud-rfa.link",""
"domain","mycreditcard-ssl.online",""
"domain","mydocs-google.link",""
"domain","mydocs-rfa.online",""
"domain","mydri.site",""
"domain","mydri.work",""
"domain","mydrive-0a-files-outlook.link",""
"domain","mydrive-0a-ms.live",""
"domain","mydrive-0a-outlook.link",""
"domain","mydrive-docs-google.com",""
"domain","mydrive-docs-googleusercontent.link",""
"domain","mydrive-docs-ms.live",""
"domain","mydrive-docs-usercontent.link",""
"domain","mydrive-fidh.space",""
"domain","mydrive-file-usercontent-attachment.online",""
"domain","mydrive-google.link",""
"domain","mydrive-google.online",""
"domain","mydrive-mail.link",""
"domain","mydrive-mne-pt.space",""
"domain","mydrive-mofa.space",""
"domain","mydrive-ms.online",""
"domain","mydrive-nic.com",""
"domain","mydrive-nic.online",""
"domain","mydrive-nic.space",""
"domain","mydrive-o0-usercontent-files.online",""
"domain","mydrive-office.link",""
"domain","mydrive-rfa.online",""
"domain","mydrive-rfa.org",""
"domain","mydrive-ru.link",""
"domain","mydrive-taitra.link",""
"domain","mydrive-usercontent-0a-gmail.link",""
"domain","mydrive-usercontent-o02-files.online",""
"domain","mydrive-userfiles0a-google.com",""
"domain","mydrive-yahoo.link",""
"domain","mydrive-yahoo.space",""
"domain","mydrv.live",""
"domain","mydrv.xyz",""
"domain","myedit-live.online",""
"domain","myedit-yahoo.com",""
"domain","myedit-yahoo.space",""
"domain","myfiles-amcham.link",""
"domain","myfiles-content-0d-rfa.link",""
"domain","myfiles-dpp.link",""
"domain","myfiles-fidh.space",""
"domain","myfiles-google.link",""
"domain","myfiles-gov-tw.site",""
"domain","myfiles-ms.live",""
"domain","myfiles-nic.space",""
"domain","myfiles.live",""
"domain","myfiles.work",""
"domain","myid-ms.live",""
"domain","myprivate-drive.online",""
"domain","myprofile-ms.live",""
"domain","mysettings-yahoo.com",""
"domain","mysettings-yahoo.pw",""
"domain","mysettings.live",""
"domain","myshort.site",""
"domain","mysrv-yahoo.online",""
"domain","mysso-ms.live",""
"domain","nextcloud-rfa.org",""
"domain","nic-files.download",""
"domain","notification-ms.live",""
"domain","notifications-google.com",""
"domain","notifications-mail.live",""
"domain","ondrv.live",""
"domain","onedrive-merics.link",""
"domain","outlook-usercontent-attachment.online",""
"domain","outlookfiles.download",""
"domain","owa-files-purdue.online",""
"domain","owa-files.link",""
"domain","owa-live.online",""
"domain","owa-ms.live",""
"domain","ownfiles-fidh.pw",""
"domain","personalinfo-yahoo.com",""
"domain","personalinfo-yahoo.net",""
"domain","pnykrr5hrq-live.online",""
"domain","pri-drive.online",""
"domain","profile-live.link",""
"domain","profile-yahoo.net",""
"domain","prompt-yahoo.com",""
"domain","protection-yahoo-inc.com",""
"domain","qtmda-live.online",""
"domain","r-live.online",""
"domain","r3e2c6a-yahoo.online",""
"domain","ra-live.online",""
"domain","re-ms.live",""
"domain","redir-live.online",""
"domain","referrer-yahoo.online",""
"domain","reurl-live.online",""
"domain","rev-live.online",""
"domain","rfasec.site",""
"domain","rfs-yahoo.online",""
"domain","rs-live.online",""
"domain","rs-ms.online",""
"domain","rts-live.online",""
"domain","ryanvlzlw-yahoo.online",""
"domain","safety-yahoo.com",""
"domain","sec-nic.online",""
"domain","secure-amcham.live",""
"domain","secure-amnesty.online",""
"domain","secure-fidh-org.online",""
"domain","secure-fidh.link",""
"domain","secure-fidh.org",""
"domain","secure-fidh.space",""
"domain","secure-google.link",""
"domain","secure-gov.space",""
"domain","secure-lrs.site",""
"domain","secure-mail.link",""
"domain","secure-merics.link",""
"domain","secure-merics.online",""
"domain","secure-merics.org",""
"domain","secure-ms.live",""
"domain","secure-nic.online",""
"domain","secure-profile.space",""
"domain","secure-rfa.link",""
"domain","secure-rfa.online",""
"domain","secure-rfa.org",""
"domain","secure-yahoo.link",""
"domain","secure-yahoo.space",""
"domain","security-mail.link",""
"domain","security-merics.org",""
"domain","security-ms.live",""
"domain","security-rfa.link",""
"domain","security-rfa.org",""
"domain","setting-live.online",""
"domain","setting-ms.live",""
"domain","settings-center.live",""
"domain","settings-hinet.net",""
"domain","settings-mail.link",""
"domain","settings-mofavn.online",""
"domain","settings-ms.live",""
"domain","settings-office365.com",""
"domain","settings-purdue.space",""
"domain","settings-rfa.org",""
"domain","settings-yahoo.com",""
"domain","settings-yahoo.net",""
"domain","sft-live.online",""
"domain","share-google.link",""
"domain","short-yahoo.link",""
"domain","sid-yahoo.link",""
"domain","sign-fidh.online",""
"domain","signin-live.online",""
"domain","srf-live.link",""
"domain","ssl-login.space",""
"domain","sso-live.link",""
"domain","sso-ms.live",""
"domain","sso-ms.space",""
"domain","sso-rfa.online",""
"domain","sso-secure.live",""
"domain","sso-yahoo.link",""
"domain","sso-yahoo.work",""
"domain","staff-rfa.org",""
"domain","t-yahoo.online",""
"domain","tgchannbers.com",""
"domain","topic-live.online",""
"domain","tr-live.online",""
"domain","untreated.work",""
"domain","up-mail.work",""
"domain","up-merics.live",""
"domain","usercontent-mydrive.download",""
"domain","userfiles-fidh.space",""
"domain","uts-live.online",""
"domain","vzfxaw-ms.online",""
"domain","w-ymail.link",""
"domain","wdrive.live",""
"domain","web-hinet.site",""
"domain","webmailfiles.download",""
"domain","wrfa.live",""
"domain","ym-mail.online",""
"domain","ymshort.site",""
"domain","ysec.site",""
"domain","yset.site",""
"domain","yshort.site",""
"domain","zlqvmu5r-live.online",""
