"Indicator type","Indicator","Description"
"CVE","CVE-2021-34527",""
"FileHash-MD5","00c143b07ddbf5995bd03f79a1ebd945","MD5 of b722655b93bcb804802f6a20d17492f9c0f08b197b09e8cd57cf3b087ca5a347"
"FileHash-MD5","09e06cfd9d171b52d55cd23ea0c50721","MD5 of 7259b7a91df7c9bc78b0830808fe58c6ff66aa79bb856cf1bf50a107875b3651"
"FileHash-MD5","3eb185030cd0e557b0b5f9c1fc78f38d","MD5 of 911c152d4e37f55bd1544794cc324364b6f03aff118cdf328127355ccc25282a"
"FileHash-MD5","5c7579c8930036b12e740402de7a7950","MD5 of a8faf08997e11a53f9d38797d997c51c1a3fcf89412c3da8dcca6631c6f314a8"
"FileHash-MD5","79ea559bb87bf3c8403c40586993d4ac",""
"FileHash-MD5","87864c9c7b50bde510a8ca8b1f2c74f0","MD5 of f5218aaa046776a12b3683c8da4945a0c4c0934e54802640a15152d9dae15d43"
"FileHash-MD5","9b02dd2a1a15e94922be3f85129083ac","MD5 of b1102ed4bca6dae6f2f498ade2f73f76af527fa803f0e0b46e100d4cf5150682"
"FileHash-MD5","9e7d45b4f097d4274aa74b5eaade65d9","MD5 of 2e349b3224cc0d958e6945623098c2d28cc8977e0d45480c0188febbf7b8aa78"
"FileHash-MD5","b9ac6f8ea946cb0f4b1ab79e2172fd83","MD5 of 5ad4fa74e71fb4ce0a885b1efb912a00c2ce3c7b4ad251ae67e6c3a8676ede02
MD5 of 5ad4fa74e71fb4ce0a885b1efb912a00c2ce3c7b4ad251ae67e6c3a8676ede02"
"FileHash-MD5","be91687f45c6035c757bb28841fc5715","MD5 of 29767c912919cb38903f12c7f41cdd1c5f39fccb9641302c97b981e4b5e31ee5"
"FileHash-MD5","c16023706322f7312ed0f688f616ce84","MD5 of 52f145a4ccc0f540a130bedbf04370a842daff1ee8d8361c75a8e0d21a88cf5a"
"FileHash-MD5","cf64bee3d655db4c5f14d1144efe7d82","MD5 of 165b491e5b9e273a61c16de0f592e5047740658c7a2e3047f6bf518a17e59eca"
"FileHash-MD5","edb88affffd67bca3523b41d3e2e4810","MD5 of 4c3d85e7c49928af0f43623dcbed474a157ef50af3cba40b7fd7ac3fe3df2f15
MD5 of 4c3d85e7c49928af0f43623dcbed474a157ef50af3cba40b7fd7ac3fe3df2f15"
"FileHash-SHA1","0055b93907665fed56d22a7614a581a87d060ead","SHA1 of 4c3d85e7c49928af0f43623dcbed474a157ef50af3cba40b7fd7ac3fe3df2f15
SHA1 of 4c3d85e7c49928af0f43623dcbed474a157ef50af3cba40b7fd7ac3fe3df2f15"
"FileHash-SHA1","2cb6ff75b38a3f24f3b60a2742b6f4d6027f0f2a","SHA1 of b1102ed4bca6dae6f2f498ade2f73f76af527fa803f0e0b46e100d4cf5150682"
"FileHash-SHA1","4fbb5d9d2ed8720ff4c856900031582487cd99f1","SHA1 of 7259b7a91df7c9bc78b0830808fe58c6ff66aa79bb856cf1bf50a107875b3651"
"FileHash-SHA1","6d54c6783d29e12b90a796f36e53acffed47549d","SHA1 of 165b491e5b9e273a61c16de0f592e5047740658c7a2e3047f6bf518a17e59eca"
"FileHash-SHA1","9e7aea5c206d2833aef4bd626981444753f7e93e","SHA1 of 52f145a4ccc0f540a130bedbf04370a842daff1ee8d8361c75a8e0d21a88cf5a"
"FileHash-SHA1","a0b23013c9e07fa7c0eabeecb1a46f8f2d64e521","SHA1 of 29767c912919cb38903f12c7f41cdd1c5f39fccb9641302c97b981e4b5e31ee5"
"FileHash-SHA1","d191cc574309462b635ff7a82e504c6726e55efd","SHA1 of 911c152d4e37f55bd1544794cc324364b6f03aff118cdf328127355ccc25282a"
