"Indicatortype","Indicator","Description"
"hostname","great-jepsen.51-79-62-98.plesk.page",""
"hostname","asymmetricfile.blogspot.com",""
"URL","https://great-jepsen.51-79-62-98.plesk.page/MKS/w3/Adobe.msi",""
"URL","https://Intelligent-archimedes.51-79-62-98.plesk.page/x3/Uu-3.php",""
"URL","https://asymmetricfile.blogspot.com",""
"URL","https://postinfomatico.blogspot.com",""
"IPv4","104.249.26.60","CC=US ASN=AS397373 H4Y-TECHNOLOGIES"
"IPv4","185.243.112.136","CC=NL ASN=AS208258 Access2.IT Group B.V."
"IPv4","31.207.44.72","CC=NL ASN=AS57043 Hostkey B.v."
"domain","cyberclub.one",""
"FileHash-MD5","14d3040db6d97f13250c438e2acb64ac","MD5 of ed09da9d48afe918f9c7f72fe4466167e2f127a28a7641ba80d6165e82f48431"
"FileHash-SHA1","c66d5875b5db70aad23c868449c3cabbf5d90d0f","SHA1 of ed09da9d48afe918f9c7f72fe4466167e2f127a28a7641ba80d6165e82f48431"
"FileHash-SHA256","ed09da9d48afe918f9c7f72fe4466167e2f127a28a7641ba80d6165e82f48431",""
"FileHash-MD5","37a1514a7a5f9b2c6786096129a30721",""
"FileHash-MD5","8199f14502e80581000bd5b3bda250ee",""
"FileHash-MD5","8b01dec07856a67db0e0d849bc84fd9e",""
"FileHash-MD5","a437f997d45bc14e76d0f2482f572a34",""
"FileHash-MD5","bcb465cc2257e5777bab431690ca5039",""
"FileHash-MD5","d79687676d2d152aec4143c852bdbc4a",""
"FileHash-MD5","f8c29040122cf892190bcf3665975d2f",""
"FileHash-SHA1","0bc47b1044d1c795ab6cb9d51003e13ade567c6d","SHA1 of 8199f14502e80581000bd5b3bda250ee"
"FileHash-SHA1","1856532acc50f6d23cd6ef6863580d51fca9b3b3","SHA1 of a437f997d45bc14e76d0f2482f572a34"
"FileHash-SHA1","5a0f97b4aa465f64e6d8f640c2ccb36b400fc68c","SHA1 of d79687676d2d152aec4143c852bdbc4a"
"FileHash-SHA1","8f6a891d5de2afefc2c9c6ce2747fe6daedaefeb","SHA1 of bcb465cc2257e5777bab431690ca5039"
"FileHash-SHA1","a99c3289c74d80a56f097d71005c5f32169cd16c","SHA1 of f8c29040122cf892190bcf3665975d2f"
"FileHash-SHA1","b6c2f7ba948bbcbec70a223e14afa3221bd7844a","SHA1 of 8b01dec07856a67db0e0d849bc84fd9e"
"FileHash-SHA1","da2e2645660a5ef0f69058a2b5f7d608f519b66e","SHA1 of 37a1514a7a5f9b2c6786096129a30721"
"FileHash-SHA256","33da0540c8df2e9df4edb7293efb65781a3d10c6f5ff5763e654692c9639d5cc","SHA256 of 8b01dec07856a67db0e0d849bc84fd9e"
"FileHash-SHA256","4181463d331dd7dd44bb170435f8f8f0ec2f6c4624e05332b19460365926ea23","SHA256 of f8c29040122cf892190bcf3665975d2f"
"FileHash-SHA256","5f0e0f0abc28ccc1911533fd035e984b4183eb9838bb41c1f6589de84a617ca6","SHA256 of d79687676d2d152aec4143c852bdbc4a"
"FileHash-SHA256","ba73116c7cf6faf3aa97b497cf7472b2a115a3b5ad7ad85f7919ff81a1ff2b9a","SHA256 of 8199f14502e80581000bd5b3bda250ee"
"FileHash-SHA256","d0ac165c22d01bd7864c1878d4c8ace83036b629e2121d14ebf118d8b8658fce","SHA256 of a437f997d45bc14e76d0f2482f572a34"
"FileHash-SHA256","d41fb37b5f32eb817801156d04df1384a2b9ad77deb6974ac73d212710e4f551","SHA256 of bcb465cc2257e5777bab431690ca5039"
"FileHash-SHA256","ff046f30ea1da5d318db91ad4ce74423be289335642bdebe31f98b8bf217726d","SHA256 of 37a1514a7a5f9b2c6786096129a30721"
"CVE","CVE-2017-11882",""
"FileHash-MD5","13814a190f61b36aff24d6aa1de56fe2",""
"FileHash-MD5","1a5489147a888c4f5f32e97ffcb01733",""
"FileHash-MD5","1c444ebeba24dcba8628b7dfe5fec7c6",""
"FileHash-MD5","214011a0d57b1d8238532be4f6414f58",""
"FileHash-MD5","23d174e6a0905fd59b2613d5ac106261",""
"FileHash-MD5","2adef8c6699b0791a7636e8071e434fa","MD5 of 7115580f8235a0bbce61e8af79c3ed5cbe46900912eb0765ccaee82213a9275e"
"FileHash-MD5","2bc2abefc1a721908bc805894b62227d",""
"FileHash-MD5","37fe608983d4b06a5549247f0e16bc11",""
"FileHash-MD5","53542ec51daf61fba2d26fe91b7d701f",""
