"Indicator type","Indicator","Description"
"FileHash-MD5","5f3ae07a876a872a7939bb4f0cf27329","MD5 of a8f1e7eccae75e840b1d6982b06ee322ceaed65ade23a10d17c8414e5a522110"
"FileHash-SHA1","e83b08f63427bbe3b6322ce7021139b12f20c6d5","SHA1 of a8f1e7eccae75e840b1d6982b06ee322ceaed65ade23a10d17c8414e5a522110"
"FileHash-SHA256","a8f1e7eccae75e840b1d6982b06ee322ceaed65ade23a10d17c8414e5a522110",""
"CVE","CVE-2017-11882",""
"CVE","CVE-2018-0798",""
"CVE","CVE-2018-0802",""
"FileHash-MD5","03dca83a0a534b9553d30a7b04dfe831","MD5 of 8ceb84e33db56092618f763771630b0759d7122d5df5afaeb4c1ebc9e72ed7f1"
"FileHash-MD5","132227d867e63f8bce24ae5741791d7a","MD5 of 6f7f142089b1d2e48880f59362c7c50e5d193166bdd5e4b27318133e8fe27b2c"
"FileHash-MD5","1a0c5c7a0c8b64f5e8724d371bd4c256","MD5 of 289ce24d873986d607ab8e43f499be562fa4925d2b5be16bb31ce68a00b4020a"
"FileHash-MD5","31eed1392e71fd43fc11a5f628b06019","MD5 of d863f559ba323625f20721e910bf920ee73a5303f6edadbec2aa670b640e01c8"
"FileHash-MD5","366340f96c9e5767b7377cf9f93fa865","MD5 of 75f7b6197d648eaa8263d23c8f9aa9224038259d25df073803929d6582ea27b1"
"FileHash-MD5","3d3bb775cbeb1c63ff7bdbccbc080946","MD5 of d49c0d6113a9928486e35a7013d9c09a52743bd8fe84712e27c54fcac9b9e31e"
"FileHash-MD5","469ddd0df4abb23b4e83dfad75c90e34","MD5 of 86c563a8630150934ae7468e074f81914d26b978c32571ce9f4d9b349dc03349"
"FileHash-MD5","5767a17038ca8003ee3e806c5c64b2da","MD5 of a8c21cb9dea1c9bc62adcc6de4a73c7971ea797ab4fdb93320532647625e22ba"
"FileHash-MD5","591d0474b58b7e07f366471b73a28335","MD5 of f229239ed7665338961eec60a17bcca0fed1eb957b0e751dd991ce664140d79c"
"FileHash-MD5","5c94759201a027baa8e68801740e615e","MD5 of e537b6eb903d9bb9b3cb0e63f9fddf2afa0875af7558b5bec3c98cebf1452e01"
"FileHash-MD5","611555d80c561b7412691b218a411476","MD5 of 8d7d259ac375171c59ac81ba9a16949ac7277c8ed3841c229ce48def0358c96e"
"FileHash-MD5","69c10f00da74acad5ee71c8368bb3c76","MD5 of c25ae716a651c7c846871275bfde7188224628e3380fd6f256aacba1cb15ad61"
"FileHash-MD5","7358778b0e83f298fe880408f7b7647e","MD5 of a557eed41c5e021209c7e3a3eada10abf43e2bfabf930552b6cb7a4b7568b971"
"FileHash-MD5","7fd7b1c218d7df7a3f09a8f06f141c71","MD5 of 72a7341805713327f09f881bc7184610ed28101bfbda93fd829d0d52978c22eb"
"FileHash-MD5","842497c20072fc9b92f2b18e1d690103","MD5 of 5c2a6b11d876c5bad520ff9e79be44dfbb05ee6a6ff300e8427deab35085bef6
MD5 of 5c2a6b11d876c5bad520ff9e79be44dfbb05ee6a6ff300e8427deab35085bef6"
"FileHash-MD5","86a0557fc47d79ad1cc056f229dab944","MD5 of 82f8cf41aa720e268ee0c6e43cd52512ea4a2f98a51844071e0faaf1eb13ce62"
"FileHash-MD5","8e5c8c98a67f5f92018f892a56ed744d","MD5 of a8d92ace0ea438759428877a32cd92f73790d86d0e3384317c04a9ae4ed30c55"
"FileHash-MD5","97e37999e460fa2f0d10c58d66926890","MD5 of c8934c7b3187e48b1ee44fc2c8e1c3ab19850efc1e45383442cfe4b9b4a06d01"
"FileHash-MD5","9c13823a0ed273b292fd83ac56bea9b0","MD5 of 152f95a5bdf549c5ca789d0dd99d635ee69cca6fe464ced5b39d0316707a4914"
"FileHash-MD5","a39be1b580c1d03d5558d310ed429042","MD5 of 3f21e0b3ef80fd9393c6e187311a78aee22738f510ed227397249157b131b890
MD5 of 3f21e0b3ef80fd9393c6e187311a78aee22738f510ed227397249157b131b890"
"FileHash-MD5","ab1f36861f08fb175793773ec104ad2a","MD5 of 399563e798edd4a9e1a89209b1b350a4e1197786c23c0986a1a965446e7d5474
MD5 of 399563e798edd4a9e1a89209b1b350a4e1197786c23c0986a1a965446e7d5474"
"FileHash-MD5","b0cbdb532ef1485459ffac6e20a037f1","MD5 of 5137bc35b042c0ea2ad56f3b0e03191e840cce9e9dadb470d6a7a018f3a1a4fb
MD5 of 5137bc35b042c0ea2ad56f3b0e03191e840cce9e9dadb470d6a7a018f3a1a4fb"
"FileHash-MD5","b18bdb316a720e774e8a5b92434725dd","MD5 of 53c7ab494527a8118f89ba99dea51b223f98e368e687f42d31925945b0282e87
MD5 of 53c7ab494527a8118f89ba99dea51b223f98e368e687f42d31925945b0282e87"
"FileHash-MD5","b557bb005f65407d150777cc222539cc","MD5 of ab49e15c0a0e4f977748faae36255889c2239cde847ed49304881c123b9a0e99"
"FileHash-MD5","bf571cb46afc144cab53bf940da88fe2","MD5 of 8dfda79f7848a41f0a8f7a68096fcb6783ace3f3430ae3d7d05fed1ad4533fe0"
"FileHash-MD5","c697ad8c21ce7aca0a98e6bbd1b81dff","MD5 of 4d9af80dad6dcdfe37931094c42296d53ef6d98b633db32503d7972fd7e0e3f6
MD5 of 4d9af80dad6dcdfe37931094c42296d53ef6d98b633db32503d7972fd7e0e3f6"
"FileHash-MD5","dceecdaa24062949784014e234cfc4e2","MD5 of 2bebd0989d1d8c6bb681217399281640521d61ce207f358a4340377898ed44c5"
"FileHash-MD5","ea57ae2c02a91d4c51ad1bad4a255575","MD5 of d59278ff54d30176263deadcb7d21ba6f9b7eb1139e3dcd6f7ea534183f96c92"
"FileHash-MD5","f4cd13eb34a00f1deda6a51cf2e4773d","MD5 of f8a8ccfa6426f27da75649dbef26213aae6137f726d29232e45e4183391016bf"
"FileHash-MD5","f50becc73cb13aff133bcafcb03a3596","MD5 of b0ad5af44a0a07a2408e9a6b4e4a27e366aa64350ff60f398d1b8086172034f6"
"FileHash-SHA1","00dfb74889d28171aae5b42c5dc9e1d81ea91d08","SHA1 of 75f7b6197d648eaa8263d23c8f9aa9224038259d25df073803929d6582ea27b1"
"FileHash-SHA1","0789456e2020cfe983cda2805637971752ab7dbe","SHA1 of ab49e15c0a0e4f977748faae36255889c2239cde847ed49304881c123b9a0e99"
"FileHash-SHA1","0e2445f0667c44a59869212cf8707b18a2cd2fc1","SHA1 of 72a7341805713327f09f881bc7184610ed28101bfbda93fd829d0d52978c22eb"
"FileHash-SHA1","0e50138f69621713fe381abd46a7bc51bc21bd1c","SHA1 of f229239ed7665338961eec60a17bcca0fed1eb957b0e751dd991ce664140d79c"
