"Indicator type","Indicator","Description"
"IPv4","185.64.106.39",""
"domain","nod-update.it",""
"URL","https://nod-update.it/getsearchresults",""
"URL","https://nod-update.it/siteindex/b/",""
"URL","https://nod-update.it/check-updates/c/updates/updates.html",""
"FileHash-MD5","34efd97c9ed25e68b52f35b2c6cab9a5",""
"FileHash-SHA256","7908d7095ed1cde36b7fd8f45966fc56f0b72ca131121fdb3f8397c0710100e1",""
"FileHash-SHA256","cf2f412ea94253358d3b2a4eebdf2067c6952b1921f0cb754ce888a01e0e0065",""
"FileHash-SHA256","7fafbd8d6b15279ca377d5d871ecb108284fc28f905b73488850999d445c2087",""
"FileHash-MD5","754c122f3e311825adc9d46ba3665bb9",""
"FileHash-MD5","48bc4f0c9b3fe67610c105de0b2a6bd7",""
