"Indicatortype","Indicator","Description"
"CVE","CVE-2022-24682",""
"CVE","CVE-2022-27924",""
"CVE","CVE-2022-27925",""
"CVE","CVE-2022-30333",""
"CVE","CVE-2022-37042",""
"FileHash-MD5","5b739059ebb590df7bc7ed33c8d62531",""
"FileHash-MD5","6acf93001a61f325e17a6f0f49caf5d1",""
"FileHash-MD5","6f1c2dd27e28a52eb09cdd2bc828386d",""
"FileHash-MD5","7153cfe57d2df499175aced7e92bcf65",""
"FileHash-MD5","91de296c801db00a24a2832b5e12d345","MD5 of 010aee65009b9faeb3a4e24ca777d3aaa51b0bd3"
"FileHash-SHA1","010aee65009b9faeb3a4e24ca777d3aaa51b0bd3",""
"FileHash-SHA1","48e520d4705ae143783f1375e384eb793fb2b513",""
"FileHash-SHA1","ab479f3054a3d9d596fd2c73985120e5817912f3",""
"FileHash-SHA256","14bf0cbee88507fb016d01e3ced053858410c389be022d2aa4d075287c781c4a",""
"FileHash-SHA256","6dee4a1d4ac6b969b1f817e36cb5d36c5de84aa8fe512f3b6e7de80a2310caea",""
"FileHash-SHA256","814a169ba97b168f95af3340b60a6fec1f29c87be89226b1966d9b0abfb19a15",""
"FileHash-SHA256","bc5b1f588cd506a69c03a7980a363846fa474b78e6946fa90e58d735c65f2bb6","SHA256 of 010aee65009b9faeb3a4e24ca777d3aaa51b0bd3"
"FileHash-SHA256","ffb0f637776bc4cfcf5a24406ebf48fc21b9dcec68587a010f21b88250bda195",""
"YARA","1af794fa94ba48b3102b87fc76c8a6fb55947143",""
"YARA","2b41e11940fa30d20ad75a8cfae09f70d39361a5",""
"YARA","8b4d27b417c3a99a73681198e26faa756139fa9f",""
"YARA","8b4dce84164b31a68f7330f1dc35fcaecb249a10",""
