"Indicator type","Indicator","Description"
"FileHash-MD5","c7a1dd829b03b47c6038afa870b2f965",""
"FileHash-SHA1","01936b7c17d0283d7d8101436e1a5ddfc42bbf4c","SHA1 of c7a1dd829b03b47c6038afa870b2f965"
"FileHash-SHA256","b1a2eb532c461ff2faa4ec9edf44d2ef5678ee1a84a8779866ad64fa8b52065e","SHA256 of c7a1dd829b03b47c6038afa870b2f965"
"CVE","CVE-2017-11882",""
"CVE","CVE-2018-0802",""
"FileHash-MD5","044e167af277ca0d809ce4289121a7b5",""
"FileHash-MD5","077b71298ce31832ae43e834b7e6c080",""
"FileHash-MD5","0e9147b824bc1d2507984ccd2a36d507",""
"FileHash-MD5","1139c39dda645f4c7b06b662083a0b9d",""
"FileHash-MD5","16fbbafa294d1f4c6c043d89138d1b60",""
"FileHash-MD5","2a21265df0bdd70a96551d9d6104b352",""
"FileHash-MD5","3399deafaa6b91e8c19d767935ae0908",""
"FileHash-MD5","3609ca3013d29fb824805b9a996eff70",""
"FileHash-MD5","41d2627522794e9ec227d72f842edaf7",""
"FileHash-MD5","5488781d71b447431a025bd21b098c2c",""
"FileHash-MD5","57c44757d7a43d3bc9e64ec5c5e5515d",""
"FileHash-MD5","5bbc3730c943b89673453176979d6811",""
"FileHash-MD5","789afbe3a173d13d0b3700da6a629e15",""
"FileHash-MD5","81932933422d4bc4ece37472f9eb3ddc",""
"FileHash-MD5","89d40dd2db9c2cfd6a03b20b307dcdec",""
"FileHash-MD5","94283807d0c97b3adb8f4ab45fffb5bc",""
"FileHash-MD5","956f2241e81345d6507d0cd43499dba1",""
"FileHash-MD5","9b05080490d51a7d2806a0d55d75c7ff",""
"FileHash-MD5","a34d585f66fc4582ed709298d00339a9",""
"FileHash-MD5","a3ba37cde2644ed6345d2c74ce25bfd8",""
"FileHash-MD5","a7a004e7118c986f1e07c87ce52a60e5",""
"FileHash-MD5","a8a93fa8ef221de5ee3d110cfc85243d",""
"FileHash-MD5","aa04bfcc675c73be1238fa953e19c4cf",""
"FileHash-MD5","acbbc6fea0dbbe7cba511b450cc2b758",""
"FileHash-MD5","ae74f2bfd671e11828a1ae040fe6d48c",""
"FileHash-MD5","ae828e3c03cc1aaedc43bb391e8b47ed",""
"FileHash-MD5","b1aad1ed2925c47f848f9c86a4f35256",""
"FileHash-MD5","b684f3ee5a316e7fbcfa95ebcf86dedc",""
"FileHash-MD5","b7b71b35fbfd119319015b04de817b3c",""
"FileHash-MD5","bd9907dd708608bd82bf445f8c9c06ab",""
"FileHash-MD5","c2064c7f4826c46bc609c472597366fd",""
"FileHash-MD5","d0d728856a91710df364576e05f2113e",""
"FileHash-MD5","d236d8fda2b7d6fd49b728d57c92a0a9",""
"FileHash-MD5","d5a40e2986efd4a182bf564084533763",""
"FileHash-MD5","dc3faa6840d1b5fd296d71ee8877254e",""
"FileHash-MD5","e79833c9f758775ba0d82b8f4c8d2981",""
"FileHash-MD5","eb527d1682bfbed5d9346e721c38c6f5",""
"FileHash-MD5","edc96c980bbc85d83dcd4dca49ca613f",""
"FileHash-MD5","ee671a205b0204fa1a6b4e31c9539771",""
"FileHash-MD5","f29cbc7639b53003fb33d8b20b9c0b59",""
"FileHash-MD5","f58ad9ee5d052cb9532830f59ecb5b84",""
"FileHash-MD5","f68e64dacd046289d4222098ee421478",""
"FileHash-MD5","f95ceca752d219dbc251cca4cd723eae",""
"FileHash-SHA1","0362b03e369044b501e24f0b396525e68baab6d6","SHA1 of b1aad1ed2925c47f848f9c86a4f35256"
"FileHash-SHA256","06aa0c4926be11855b1a93042afe7416a40996455663214b0d938c79bcfce686","SHA256 of b1aad1ed2925c47f848f9c86a4f35256"
"IPv4","146.70.88.123","CC=FR ASN=AS9009 M247 Europe SRL"
"IPv4","185.227.82.21","CC=NL ASN=AS208258 Access2.IT Group B.V."
"domain","comparelicense.com",""
"domain","desktoppreview.com",""
"domain","driversolution.net",""
"domain","gettemplate.org",""
"domain","protocol-list.com",""
"domain","remote-convert.com",""
"domain","technology-requests.net",""
"domain","translate-news.net",""
