"Indicator type","Indicator","Description"
"FileHash-MD5","1e12ac069c1898ffe271ebdfcbd689c1","MD5 of b08e713196b712c42da2df9da7836d270306065fbf6d4720f25d80e4104daf38"
"FileHash-MD5","2956c03bff952b22387eed8172a26ba5","MD5 of cc2171d14d0d3c4d117155185f7c911f781aac15b57adef6c32eb0149d5da3ba"
"FileHash-MD5","4961aec62fac8beeafffa5bfc841fab8","MD5 of 7a234d1a2415834290a3a9c7274aadb7253dcfe24edb10b22f1a4a33fd027a08"
"FileHash-MD5","4a1e60be00e59617d53122d70c64506c","MD5 of 7a17ef218eebfdd4d3e70add616adcd5b78105becd6616c88b79b261d1a78fdf"
"FileHash-MD5","f1aff007c04c6fd3739dbeac537edaaa","MD5 of 410cd107dfd37752936bd20d022ea614cd373aa9d37db255f65dc434e653236a"
"FileHash-SHA1","0eaf6289dd7ebe8ae0879a4a72d1518e1d4ffac9","SHA1 of cc2171d14d0d3c4d117155185f7c911f781aac15b57adef6c32eb0149d5da3ba"
"FileHash-SHA1","529f476f952fd1526d2038cb0012e5bdd8a702f3","SHA1 of 7a17ef218eebfdd4d3e70add616adcd5b78105becd6616c88b79b261d1a78fdf"
"FileHash-SHA1","5c7b4da950b0f1845b38ef1aa11ca41b4731c766","SHA1 of b08e713196b712c42da2df9da7836d270306065fbf6d4720f25d80e4104daf38"
"FileHash-SHA1","9d0f6c8be3214eee1dda6ebb4bb41ef97cfe28b4","SHA1 of 7a234d1a2415834290a3a9c7274aadb7253dcfe24edb10b22f1a4a33fd027a08"
"FileHash-SHA1","d2742d7c4b7454745795c547594bb4f9dbddecfe","SHA1 of 410cd107dfd37752936bd20d022ea614cd373aa9d37db255f65dc434e653236a"
"FileHash-SHA256","35f5c781d61d398ce47a8881228346a81afb4915bf083518bf2b4cc8d6a2685b",""
"FileHash-SHA256","410cd107dfd37752936bd20d022ea614cd373aa9d37db255f65dc434e653236a",""
"FileHash-SHA256","7a17ef218eebfdd4d3e70add616adcd5b78105becd6616c88b79b261d1a78fdf",""
"FileHash-SHA256","7a234d1a2415834290a3a9c7274aadb7253dcfe24edb10b22f1a4a33fd027a08",""
"FileHash-SHA256","b08e713196b712c42da2df9da7836d270306065fbf6d4720f25d80e4104daf38",""
"FileHash-SHA256","bf1371e2d79115fc7cfc89266cd7a59c02b04a74e1246435392eb5e20c661d8f",""
"FileHash-SHA256","cc2171d14d0d3c4d117155185f7c911f781aac15b57adef6c32eb0149d5da3ba",""
