"Indicator type","Indicator","Description"
"IPv4","134.119.177.107","CC=FR ASN=AS29066 Host Europe GmbH"
"IPv4","192.95.20.8","CC=CA ASN=AS16276 OVH SAS"
"IPv4","92.222.241.76","CC=FR ASN=AS16276 OVH SAS"
"CVE","CVE-2021-44228",""
"CVE","CVE-2022-22954",""
"CVE","CVE-2022-22960",""
"IPv4","104.223.34.198","CC=NL ASN=AS8100 ASN-QUADRANET-GLOBAL"
"IPv4","109.248.150.13","CC=NL ASN=AS203557 DataClub S.A."
"IPv4","155.94.211.207","CC=NL ASN=AS8100 ASN-QUADRANET-GLOBAL"
"IPv4","162.245.190.203","CC=US ASN=AS8100 ASN-QUADRANET-GLOBAL"
"IPv4","185.136.163.104","CC=FR ASN=AS29066 Host Europe GmbH"
