"Indicatortype","Indicator","Description"
"FileHash-MD5","04ff2a137d462fde1ff88b07d6550402","MD5 of edeec82c65adf5c44b52fbdc4b7ff754c6bd391653bba1e0844f0cab906a5baf"
"FileHash-MD5","09dec45e479e61fe77a6c90764f8490d","MD5 of ded20df574b843aaa3c8e977c2040e1498ae17c12924a19868df5b12dee6dfdd"
"FileHash-MD5","2ce7bf9b036c4cc2b2874b7ab046a67a","MD5 of 9eca0cd45c00182736467ae18da21162d0715bd3d53b8df8d92a74a76a89c4a0"
"FileHash-MD5","523b9f5a92bd6c6058e54e47b1e85863","MD5 of fa52844b5b7fcc0192d0822d0099ea52ed1497134a45a2f06670751ef5b33cd3"
"FileHash-MD5","56897a7b418523c48c5c1e9552944c13","MD5 of 8ef4026b254dd0918bf3ace7741b26ff52a52ef024c721d8129c5ccfa4ccde24"
"FileHash-MD5","627820337cff16e3d3ae38b363fa9c7b","MD5 of a9670d746610c3be342728ff3ba8d8e0680b5ac40f4ae6e292a9a616a1b643c8"
"FileHash-MD5","bb6e91fafa4a644fae1e7255d31ca200","MD5 of 1dbe5c2feca1706fafc6f767cc16427a2237ab05d95f94b84c287421ec97c224"
"FileHash-MD5","d395a30b39ac38b26c212c4000f0230a","MD5 of d2b1b9642884a6839f09204135944c02c7437f7e692d07bb0d0269c4ff8316bb"
"FileHash-MD5","d3d9570ceefe243a4394fa6f7a1fcb1f","MD5 of 0f5fb924eb5eb646ba6789db665545a08c0438e99e5a24f27c37bc0279b1a8a6"
"FileHash-MD5","e651d546c79039e9fe3e59e49f7a36c8","MD5 of 2d4454d610ae48bf9ffbb7bafcf80140a286898a7ffda39113da1820575a892f"
"FileHash-MD5","e727a8e80e3831161a7cf980bb47a9fa","MD5 of 0bc3516e327fea0b5f65299366182d1e7577c9998d0cbd07891709f51fb0ac47"
"FileHash-MD5","ea199019a0c31c1c56ce63ce9449822e","MD5 of 53347d3121764469e186d2fb243f5c33b1d768bf612cc923174cd54979314dd3"
"FileHash-MD5","f8a47a11808f974213bb64c2ec3814a6","MD5 of e4ab0e5ecbd6c87432f08398b7f7424a248f98ff780e0adb710edd0698bf5434"
"FileHash-SHA1","1ecd95cb8b62821d6de9230c365a927dc828e675","SHA1 of 53347d3121764469e186d2fb243f5c33b1d768bf612cc923174cd54979314dd3"
"FileHash-SHA1","24753933dea08149b00da99940814412c7db293d","SHA1 of 2d4454d610ae48bf9ffbb7bafcf80140a286898a7ffda39113da1820575a892f"
"FileHash-SHA1","3e7b981831000575bb190147f2b7c4a3eebc47f7","SHA1 of ded20df574b843aaa3c8e977c2040e1498ae17c12924a19868df5b12dee6dfdd"
"FileHash-SHA1","421e5c9474e49211d7464458fd658ca2611557b4","SHA1 of d2b1b9642884a6839f09204135944c02c7437f7e692d07bb0d0269c4ff8316bb"
"FileHash-SHA1","60555f8a7ffa11c3021b314d98cf29e25f7f6394","SHA1 of 0bc3516e327fea0b5f65299366182d1e7577c9998d0cbd07891709f51fb0ac47"
"FileHash-SHA1","6239e6c45eaae29b66d3017a80f608682a2aa8da","SHA1 of e4ab0e5ecbd6c87432f08398b7f7424a248f98ff780e0adb710edd0698bf5434"
"FileHash-SHA1","6cdda3c058f1a3068f9e12cf4a391dade2a37b9e","SHA1 of a9670d746610c3be342728ff3ba8d8e0680b5ac40f4ae6e292a9a616a1b643c8"
"FileHash-SHA1","a00c6a6c5cb137dc7824bc20be470efd62b41b9c","SHA1 of 9eca0cd45c00182736467ae18da21162d0715bd3d53b8df8d92a74a76a89c4a0"
"FileHash-SHA1","a9f73e0c2bdc7278fd9c992c357cddd7b531931e","SHA1 of 1dbe5c2feca1706fafc6f767cc16427a2237ab05d95f94b84c287421ec97c224"
