"Indicator type","Indicator","Description"
"YARA","7b1e17e7d0ecebc0fe1a5cd09993fe6534be58f8","files - file WinRing0x64.sys.bin"
"FileHash-MD5","0c0195c48b6b8582fa6f6373032118da","MD5 of d25340ae8e92a6d29f599fef426a2bc1b5217299"
"FileHash-MD5","0c8622c4871541e89d0173d5be0db8aa",""
"FileHash-MD5","1def14848c5cc60c1626eabe5646d160","MD5 of b67dfd4a818d10a017a4d32386cf4cd2a3974636bed04f27e45de6ada86a56d2"
"FileHash-MD5","88fba011db6e5122f4aa2c0343e11275",""
"FileHash-MD5","91931a2b1ae645004023e1b35fe57314",""
"FileHash-MD5","a7bafac5ed29a68e0fff6eecc3f5bb3f","MD5 of 4f19b6970e35b3d20f84a91e3af0d82c68096710
MD5 of 4f19b6970e35b3d20f84a91e3af0d82c68096710"
"FileHash-MD5","e579cd176b384b38eda6a0c61c51c274",""
"FileHash-SHA1","3158798eddffe1a29de4a3d10a30c6f0edb2785f","SHA1 of b67dfd4a818d10a017a4d32386cf4cd2a3974636bed04f27e45de6ada86a56d2"
"FileHash-SHA1","4f19b6970e35b3d20f84a91e3af0d82c68096710",""
"FileHash-SHA1","8a3b31ac12d9ac1a44707b1de75b8870189db83a",""
"FileHash-SHA1","9f5a7a293c92ef42374cf1471b653ed994446c15",""
"FileHash-SHA1","a2d34aeee2fb7c1ba57a11c03cc33e76f1217548",""
"FileHash-SHA1","b01a88df39857417233d9bd3256f82d0fdcc63f8",""
"FileHash-SHA1","d25340ae8e92a6d29f599fef426a2bc1b5217299",""
"FileHash-SHA256","11bd2c9f9e2397c9a16e0990e4ed2cf0679498fe0fd418a3dfdac60b5c160ee5","SHA256 of d25340ae8e92a6d29f599fef426a2bc1b5217299"
"FileHash-SHA256","428d06c889b17d5f95f9df952fc13b1cdd8ef520c51e2abff2f9192aa78a4b24","SHA256 of 4f19b6970e35b3d20f84a91e3af0d82c68096710
SHA256 of 4f19b6970e35b3d20f84a91e3af0d82c68096710"
"FileHash-SHA256","4905b7776810dc60e710af96a7e54420aaa15467ef5909b260d9a9bc46911186",""
"FileHash-SHA256","beda317d74b8f1090e251205064e686d330a0502006a54dc94d528d6bd16c416",""
"FileHash-SHA256","cfa12bb31d58d30875b7a20ed05b5c100032b6a18802fbdf3913e70288e11a55",""
"FileHash-SHA256","d3c3f529a09203a839b41cd461cc561494b432d810041d71d41a66ee7d285d69",""
"YARA","7b4bf9db4e8e6f8216d65457fdae6ed7497b7602","files - file ex.exe.bin"
"YARA","838b6da59df959660b6ef3cbff1a4171752eb974","file kit.bat"
"YARA","85894b2bfe350962faeed8a5eab34593f74eb1b3","files - file smss.exe.bin"
"domain","mymst007.info",""
