"Indicator type","Indicator","Description"
"IPv4","185.154.53.140","CC=RU ASN=AS210079 EuroByte LLC"
"IPv4","212.22.77.79","CC=RU ASN=AS47596 IT Express Ltd."
"IPv4","94.103.89.159","CC=RU ASN=AS48282 Hosting technology LTD"
"CVE","CVE-2020-14750",""
"CVE","CVE-2020-14882",""
"CVE","CVE-2020-14883",""
"FileHash-MD5","2c44b4e4706b8bd95d1866d7867efa0e","MD5 of 5d2530b809fd069f97b30a5938d471dd2145341b5793a70656aad6045445cf6d"
"FileHash-SHA1","e545ceffc8948e3ca9900212807cf3a862d33581","SHA1 of 5d2530b809fd069f97b30a5938d471dd2145341b5793a70656aad6045445cf6d"
"FileHash-SHA256","020c14b7bf5ff410ea12226f9ca070540bd46eff80cf20416871143464f7d546",""
"FileHash-SHA256","5d2530b809fd069f97b30a5938d471dd2145341b5793a70656aad6045445cf6d",""
"IPv4","178.20.40.200","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","185.14.30.35","CC=NL ASN=AS21100 ITL LLC"
"IPv4","185.231.153.4","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","185.234.247.8","CC=NL ASN=AS44477 Stark Industries Solutions Ltd"
"IPv4","193.178.170.47","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","195.2.78.230","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","195.2.79.26","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","195.2.84.209","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","195.2.85.171","CC=RU ASN=AS48282 Hosting technology LTD"
"IPv4","80.92.204.82","CC=DE ASN=AS52000 MIRholding B.V."
"IPv4","91.241.19.134","CC=RU ASN=AS207566 Chang Way Technologies Co. Limited"
"URL","http://178.20.40.200/kinsing",""
"URL","http://178.20.40.200/wb.sh",""
"URL","http://185.14.30.35/kinsing",""
"URL","http://185.14.30.35/wb.sh","b2ec3cbddbfcd0bb004de60088c2dabde8df94222d3070f89e4a0208e9a0e6ac"
"URL","http://185.231.153.4/wb.sh",""
"URL","http://193.178.170.47/kinsing",""
"URL","http://193.178.170.47/wb.sh",""
"URL","http://195.2.78.230/wb.sh",""
"URL","http://195.2.79.26/kinsing",""
"URL","http://195.2.79.26/wb.sh",""
"URL","http://195.2.84.209/kinsing",""
"URL","http://195.2.85.171/wb.sh",""
"URL","http://80.92.204.82/wb.sh",""
"URL","http://91.241.19.134/wb.sh",""
"URL","http://94.103.89.159/wb.sh",""
