"Indicatortype","Indicator","Description"
"URL","http://113.185.0.244/wls-wsat/root",""
"URL","http://185.157.160.214/xms",""
"domain","tmpfiles.org",""
"IPv4","5.39.217.212","CC=NL ASN=AS57043 Hostkey B.v."
"CVE","CVE-2017-17215",""
"CVE","CVE-2022-22954",""
"CVE","CVE-2022-22955",""
"CVE","CVE-2022-22956",""
"CVE","CVE-2022-22957",""
"CVE","CVE-2022-22958",""
"CVE","CVE-2022-22959",""
"CVE","CVE-2022-22960",""
"CVE","CVE-2022-22961",""
"CVE","CVE-2022-22972",""
"CVE","CVE-2022-22973",""
"FileHash-MD5","acda46759d7c3526df2a6c59803586a4","MD5 of fdc94d0dedf6e53dd435d2b5eacb4c34923fadee50529db6f3de38c71f325e05"
"FileHash-MD5","af002abd289296572d8afadfca809294","MD5 of 940a674cfe8179b2b8964bf408037e0e5a5ab7e47354fe4fa7a9289732e1f1b8"
"FileHash-MD5","ed573e9b9087c650d06cfb76c62c0cfb","MD5 of 801b23bffa65facee1da69bc6f72f8e1e4e1aeefc63dfd3a99b238d4f9d0a637"
"FileHash-MD5","fbf6570dda8ccd4055b746cc2f521edb","MD5 of 85143ecc41fb6aadd822ed2d6f20c721a83ae1088f406f29b8b0b05459053a03"
"FileHash-SHA1","57d30fc4c0cb15e2e5b9a72ff4801a348451febe","SHA1 of 85143ecc41fb6aadd822ed2d6f20c721a83ae1088f406f29b8b0b05459053a03"
"FileHash-SHA1","68f229f435574af04319089abbcf2d32571b905a","SHA1 of 801b23bffa65facee1da69bc6f72f8e1e4e1aeefc63dfd3a99b238d4f9d0a637"
"FileHash-SHA1","d4887f9df935e081796d08c00c31e2a65e05ae81","SHA1 of 940a674cfe8179b2b8964bf408037e0e5a5ab7e47354fe4fa7a9289732e1f1b8"
"FileHash-SHA1","f303b63ee4133589b9f7139f2797b176a1af4125","SHA1 of fdc94d0dedf6e53dd435d2b5eacb4c34923fadee50529db6f3de38c71f325e05"
"FileHash-SHA256","0b4b25fab4c922e752e689111f38957e0402fd83f6b1d69e8f43c6f4b68fc1ba",""
"FileHash-SHA256","48628ca95608a015f47506eb1dc6fad0cd04a4cf5d44fdb8f10255fe0aa3c29b",""
"FileHash-SHA256","6d403c3fc246d6d493a6f4acc18c1c292f710db6ad9c3ea2ff065595c5ad3c5b",""
"FileHash-SHA256","7e29615126585b9f87ded09cfae4724bb5d7896c7daf2adfcef775924549e49b",""
"FileHash-SHA256","801b23bffa65facee1da69bc6f72f8e1e4e1aeefc63dfd3a99b238d4f9d0a637",""
"FileHash-SHA256","85143ecc41fb6aadd822ed2d6f20c721a83ae1088f406f29b8b0b05459053a03",""
"FileHash-SHA256","940a674cfe8179b2b8964bf408037e0e5a5ab7e47354fe4fa7a9289732e1f1b8",""
"FileHash-SHA256","c399b56e1baf063ca2c8aadbbe4a2b58141916aac8ef790a9c29762ed1956bd5",""
"FileHash-SHA256","fdc94d0dedf6e53dd435d2b5eacb4c34923fadee50529db6f3de38c71f325e05",""
"IPv4","64.32.6.143","CC=US ASN=AS46844 ST-BGP"
"URL","http://101.42.89.186/1234",""
"URL","http://103.43.18.15:8089/13.jsp",""
"URL","http://103.64.13.51:8452/cnm",""
"URL","http://106.246.224.219/one",""
"URL","http://107.148.12.162:12345/log",""
"URL","http://107.148.13.247/4file",""
"URL","http://107.148.13.247/error.txt",""
"URL","http://107.148.13.247:7777/file",""
"URL","http://107.191.43.86/start",""
"URL","http://135.148.91.146:1980/bins.sh",""
"URL","http://138.68.61.82:444",""
"URL","http://192.3.1.223/favicon.ico",""
"URL","http://193.56.28.202/.d/bot.redis",""
"URL","http://193.56.28.202/.d/bot.v",""
"URL","http://193.56.28.202/.d/botVNC",""
"URL","http://193.56.28.202/443",""
"URL","http://193.56.28.202/444",""
"URL","http://198.46.189.105:80/Ugliest.x86",""
"URL","http://45.144.179.204:9999/log",""
"URL","http://45.149.77.39:80",""
"URL","http://5.39.217.212:80",""
"URL","http://51.81.133.91/FKKK/NW_BBB.x86",""
"URL","http://64.32.6.143:80",""
"URL","http://80.94.92.38/folder/enemybotarm64/",""
"URL","http://80.94.92.38/folder/enemybotx64/",""
"URL","http://80.94.92.38/folder/enemybotx86/",""
"URL","https://129.226.227.246/help.txt",""
"URL","https://20.232.97.189/up/388e6567d5.sh",""
"URL","https://20.232.97.189/up/4102909932.sh",""
"URL","https://20.232.97.189/up/d1bea27b13.sh",""
"URL","https://enlib2w9g8mze.x.pipedream.net","c955e57777ec0d73639dca6748560d00aa5eb8e12f13ebb2ed9656add3908f97"
"URL","https://tmpfiles.org/dl/262822/a.txt",""
"URL","https://tmpfiles.org/dl/262853/vmware_log.jsp",""
"URL","https://tmpfiles.org/dl/265326/cmd.jsp",""
"URL","https://tmpfiles.org/dl/265351/shell.py",""
"URL","https://tmpfiles.org/dl/265385/xmrigdaemon",""
"URL","https://tmpfiles.org/dl/266116/vmware_log.jsp",""
"hostname","enlib2w9g8mze.x.pipedream.net",""
