"Indicatortype","Indicator","Description"
"domain","32sssaawervvvv.biz",""
"domain","adminmmi.biz",""
"domain","auth2022.live",""
"domain","cleanifl.com",""
"domain","docpmsi.us",""
"domain","vrtlsrvmapp.biz",""
"domain","vrtofcvm.live",""
"hostname","login.actionspsort.cam",""
"hostname","login.akasmisoft.xyz",""
"hostname","login.aueuth11.live",""
"hostname","login.auth009.xyz",""
"hostname","login.auth2022.live",""
"hostname","login.auth83kl.live",""
"hostname","login.bittermann-hh.co",""
"hostname","login.cbhbanlc.com",""
"hostname","login.cleanifl.com",""
"hostname","login.clfonl365.xyz",""
"hostname","login.gddss36.live",""
"hostname","login.grodno-pl.com",""
"hostname","login.hfs923.shop",""
"hostname","login.karlandpearson.com",""
"hostname","login.klm2136.click",""
"hostname","login.login-micro.mcrsfts-passwdupdate.com",""
"hostname","login.mcrosfts-updata.live",""
"hostname","login.mcrosfts-update.cloud",""
"hostname","login.mcrosfts-update.digital",""
"hostname","login.mcrosftts-update.cloud",""
"hostname","login.mcrsft-audio.xyz",""
"hostname","login.mcrsfts-cloud.live",""
"hostname","login.mcrsfts-passwd.cloud",""
"hostname","login.mcrsfts-passwd.digital",""
"hostname","login.mcrsfts-passwdupdate.com",""
"hostname","login.mcrsfts-update.cloud",""
"hostname","login.mcrsfts-update.digital",""
"hostname","login.mcrsfts-virtualofficevm.com",""
"hostname","login.mcrsfts-voiceapp.digital",""
"hostname","login.mcrsftsvm-app.digital",""
"hostname","login.mcrsftsvm-app.live",""
"hostname","login.mcrsftsvoice-mail.cloud",""
"hostname","login.microsecurity.us",""
"hostname","login.microstoff.xyz",""
"hostname","login.mljs365.xyz",""
"hostname","login.mwhhncndn.xyz",""
"hostname","login.mycrsfts-passwd.live",""
"hostname","login.nmmnvvx.xyz",""
"hostname","login.qwwxthn.xyz",""
"hostname","login.seafoodsconnection.com",""
"hostname","login.sunmarks.co.uk",""
"hostname","login.tfosorcimonline.xyz",""
"hostname","login.whitmanlab.uk",""
"hostname","login.yi087011.xyz",""
