"Indicatortype","Indicator","Description"
"domain","a-techsolutions.us",""
"domain","aksconsulting.us",""
"domain","antivirusphonenumber.org",""
"domain","comsecurityessentials.support",""
"domain","decfurnish.com",""
"domain","everyavenuetravel.site",""
"domain","feedsonbudget.com",""
"domain","financialtrending.com",""
"domain","foddylearn.com",""
"domain","furnitureshopone.us",""
"domain","glamorousfeeds.com",""
"domain","globalnews.cloud",""
"domain","hardwarecloseout.com",""
"domain","humaantouch.com",""
"domain","mainlytrendy.com",""
"domain","mamsolution.us",""
"domain","mamsolutions.us",""
"domain","manbrandsonline.com",""
"domain","minielectronic.in",""
"domain","mvpconsultant.us",""
"domain","netsecurity-essential.com",""
"domain","newsagent.quest",""
"domain","newsforward.quest",""
"domain","polussuo.com",""
"domain","printertechnicahelp.com",""
"domain","puppyandcats.online",""
"domain","quickbooktechnicalsupport.org",""
"domain","thespeedoflite.com",""
"domain","tissat.us",""
"domain","tissatweb.us",""
"domain","trendingonfeed.com",""
"domain","viralonspot.com",""
"domain","weeklylive.info",""
