"Indicatortype","Indicator","Description"
"FileHash-SHA1","0e1b2f01441e6e6fc8a48a7871e649d3647828cd",""
"FileHash-SHA1","127b66afa20a1c42e653ee4f4b64cf1ee3ed637d",""
"FileHash-SHA1","1396fdbff38b787d14b1135dcdfc367658669637",""
"FileHash-SHA1","25f8d7ac99e00c9d69679f2d9aca5954d2609a03",""
"FileHash-SHA1","263b243df32be6d9d9878c459d2fc6491342d547",""
"FileHash-SHA1","2a2330b13886ffe0e4fe54f7254008490814b5fa",""
"FileHash-SHA1","2a62d6bcac7b0c5e75f561458e934ec45c77699c",""
"FileHash-SHA1","2a6d37160f21ec13aa6c692a3ca3374db3d35e96",""
"FileHash-SHA1","2dbf06445a294b4f786501ef16ea4aabd8e1ad72",""
"FileHash-SHA1","3257a1f540455444a56975e7fd9cdb6f8148b828",""
"FileHash-SHA1","3de232d0a42959b20703ebb9d9376b3ef3d3015d",""
"FileHash-SHA1","3f35fd8306d4a05fadd9095acacd8d5f297a112e",""
"FileHash-SHA1","4c368635ecfee61a89203f3f0e84bfdd7d85073d",""
"FileHash-SHA1","4ffb268475e3816b22aadfb147bd7cd2f211e3d5",""
"FileHash-SHA1","5b66e4b1556ad03b4bf072d061de0606eabe8603",""
"FileHash-SHA1","5e673f4c494c424ae450f2ea5c0b066f912edccb",""
"FileHash-SHA1","672837de18d0e34f8b2a77bc2646b245671c83dc",""
"FileHash-SHA1","6c0b4e3e3bac36f3228e69ab1e53884f76f6828b",""
"FileHash-SHA1","6cf1ec6af6c6102c9d4929b1a83e0a463e737255",""
"FileHash-SHA1","73918b840384e485d009632fdf1a396758d7c515",""
"FileHash-SHA1","73d9a443933fb0c40dde3065ec77adad35a5c49a",""
"FileHash-SHA1","760676a2e05d25959dee1f9ffaf3042e5f2e0f31",""
"FileHash-SHA1","a1449c5fbf8cf126502bd68a8e8d657b3dcfd87a",""
"FileHash-SHA1","a57b73190525a729d821b6aed6849084fc1beddd",""
"FileHash-SHA1","b66dbd55ce42a61cfedd06f31725b7f56d10d548",""
"FileHash-SHA1","bd13d22095d377938c50088e59fa3079143cb0f2",""
"FileHash-SHA1","bde20788e2656454052aae9baf2f4d2b7c256c9d",""
"FileHash-SHA1","c2a90c68ad9d93139ebce981a409beae5d7de8bf",""
"FileHash-SHA1","cbf08fae71fcd46cc852fad7502685466c40e168",""
"FileHash-SHA1","d70f4974bd531af674c5c2da3bc3c7d1a0ac9b54",""
"FileHash-SHA1","dde87aefcaf788f770e5e1229db4fe73873e1c36",""
"FileHash-SHA1","e2de10a6b517e298cb2e7da150224dfe7e5717a7",""
"FileHash-SHA1","e4b6c56faa97493dc0f0f7c4fc2196096ef66513",""
"FileHash-SHA1","f3a747bf10763d7d8c1cd9ccedd1e25ee195fce3",""
"FileHash-SHA1","f4099a0884d3f1bf5602c8c6ba5265b76d7f4953",""
"FileHash-SHA1","fb29c9daa6fdeaa945446fe7cde185d51296dc7d",""
"FileHash-SHA1","fd82b821fa2c23f2b88f64179e3a7a8905c1e40b",""
"IPv4","45.82.153.92","CC=CZ ASN=AS29470 JSC RetnNet"
"domain","adobefile.ru",""
"domain","appledocs.ru",""
"domain","gismolow.com",""
"domain","gurumades.ru",""
"domain","kinksdoc.ru",""
"domain","melindas.ru",""
"domain","superdocs.ru",""
