"Indicator type","Indicator","Description"
"IPv4","1.234.2.232",""
"IPv4","1.234.21.73",""
"IPv4","101.50.0.91",""
"IPv4","103.132.242.26",""
"IPv4","103.133.214.242",""
"IPv4","103.134.85.85",""
"IPv4","103.221.221.164",""
"IPv4","103.221.221.247",""
"IPv4","103.253.145.28",""
"IPv4","103.30.145.119",""
"IPv4","103.41.204.169",""
"IPv4","103.42.57.17",""
"IPv4","103.42.58.120",""
"IPv4","103.43.46.182",""
"IPv4","103.44.138.22",""
"IPv4","103.56.149.105",""
"IPv4","103.70.28.102",""
"IPv4","103.75.201.2",""
"IPv4","103.75.201.4",""
"IPv4","103.8.26.102",""
"IPv4","103.8.26.103",""
"IPv4","103.82.248.59",""
"IPv4","103.85.160.5",""
"IPv4","104.131.11.205",""
"IPv4","104.131.62.48",""
"IPv4","104.168.154.79",""
"IPv4","104.168.155.129",""
"IPv4","104.245.52.73",""
"IPv4","104.251.214.46",""
"IPv4","104.251.215.148",""
"IPv4","107.182.225.142",""
"IPv4","109.160.96.230",""
"IPv4","110.232.117.186",""
"IPv4","110.235.83.107",""
"IPv4","114.79.130.68",""
"IPv4","116.124.128.206",""
"IPv4","116.125.120.88",""
"IPv4","118.98.72.86",""
"IPv4","119.193.124.41",""
"IPv4","119.235.255.201",""
"IPv4","119.59.125.140",""
"IPv4","119.59.98.59",""
"IPv4","120.50.40.183",""
"IPv4","121.78.112.42",""
"IPv4","122.129.203.163",""
"IPv4","128.199.192.135",""
"IPv4","128.199.93.156",""
"IPv4","129.232.188.93",""
"IPv4","131.100.24.199",""
"IPv4","131.100.24.231",""
"IPv4","134.122.66.193",""
"IPv4","134.195.212.50",""
"IPv4","134.209.240.102",""
"IPv4","135.148.121.246",""
"IPv4","136.243.32.168",""
"IPv4","138.185.72.26",""
"IPv4","138.197.109.175",""
"IPv4","138.197.147.101",""
"IPv4","138.197.64.211",""
"IPv4","138.197.90.158",""
"IPv4","138.201.142.73",""
"IPv4","139.180.205.161",""
"IPv4","139.196.72.155",""
"IPv4","139.59.44.48",""
"IPv4","139.59.60.88",""
"IPv4","142.93.76.76",""
"IPv4","144.217.88.125",""
"IPv4","144.217.91.150",""
"IPv4","144.76.186.49",""
"IPv4","144.76.186.55",""
"IPv4","146.59.226.45",""
"IPv4","147.139.134.226",""
"IPv4","149.202.179.100",""
"IPv4","149.56.128.192",""
"IPv4","150.95.20.209",""
"IPv4","151.106.112.196",""
"IPv4","151.106.39.36",""
"IPv4","152.89.239.34",""
"IPv4","153.126.146.25",""
"IPv4","153.126.203.229",""
"IPv4","156.67.219.84",""
"IPv4","158.69.222.101",""
"IPv4","159.203.141.156",""
"IPv4","159.65.1.71",""
"IPv4","159.65.163.220",""
"IPv4","159.65.88.10",""
"IPv4","159.69.237.188",""
"IPv4","159.69.43.124",""
"IPv4","159.8.59.82",""
"IPv4","159.89.230.105",""
"IPv4","160.16.102.168",""
"IPv4","160.16.142.56",""
"IPv4","160.16.218.63",""
"IPv4","162.144.76.184",""
"IPv4","162.214.118.104",""
"IPv4","162.214.50.39",""
"IPv4","162.241.79.26",""
"IPv4","162.243.175.63",""
"IPv4","162.244.80.68",""
"IPv4","164.52.194.45",""
"IPv4","164.68.99.3",""
"IPv4","165.22.211.113",""
"IPv4","165.22.246.219",""
"IPv4","165.22.61.235",""
"IPv4","167.172.253.162",""
"IPv4","167.99.115.35",""
"IPv4","167.99.127.67",""
"IPv4","168.119.39.118",""
"IPv4","168.197.250.14",""
"IPv4","168.235.104.209",""
"IPv4","169.197.131.16",""
"IPv4","172.104.22.23",""
"IPv4","172.104.227.98",""
"IPv4","172.104.251.154",""
"IPv4","172.105.115.71",""
"IPv4","173.203.78.138",""
"IPv4","173.212.193.249",""
"IPv4","173.214.173.220",""
"IPv4","174.136.15.27",""
"IPv4","175.107.196.192",""
"IPv4","175.126.176.79",""
"IPv4","176.104.106.96",""
"IPv4","176.31.163.17",""
"IPv4","176.31.73.90",""
"IPv4","176.56.128.118",""
"IPv4","177.72.80.14",""
"IPv4","177.87.70.10",""
"IPv4","178.128.82.218",""
"IPv4","178.128.83.165",""
"IPv4","178.63.25.185",""
"IPv4","178.79.147.66",""
"IPv4","180.250.21.2",""
"IPv4","181.57.137.115",""
"IPv4","183.111.227.137",""
"IPv4","185.122.58.89",""
"IPv4","185.148.168.15",""
"IPv4","185.148.168.220",""
"IPv4","185.148.169.10",""
"IPv4","185.157.82.209",""
"IPv4","185.157.82.211",""
"IPv4","185.168.130.138",""
"IPv4","185.184.25.234",""
"IPv4","185.184.25.237",""
