"Indicatortype","Indicator","Description"
"URL","http://w7oaer.infocloudgruposolucaoecia.link/P05dWVqI0WghlU4/UeWgmk3mU3p8yeyxkUgI8Um1R1/65837/gruposolucaoeciainfocloud",""
"URL","http://w7oaer.infocloudgruposolucaoecia.link/P05dWVqI0WghlU4/UeWgmk3mU3p8yeyxkUgI8Um1R1/65837/gruposolucaoeciainfocloudAvDk.T036",""
"URL","http://w7oaer.infocloudgruposolucaoecia.link/YBZJPTBQV/482NJ8NS74J9/N6D6WW/gruposolucaoeciainfocloud_097.88933.61414z64y64",""
"FileHash-SHA256","5ca1e9f0e79185dde9655376b8cecc29193ad3e933c7b93dc1a6ce2a60e63bba",""
"FileHash-SHA256","db136e87a5835e56d39c225e00b675727dc73a788f90882ad81a1500ac0a17d6",""
"FileHash-SHA256","e31658734d3e0de1d2764636d1b8726f0f8319b0e50b87e5949ec162ae1c0050",""
"FileHash-SHA256","f254f9deeb61f0a53e021c6c0859ba4e745169322fe2fb91ad2875f5bf077300",""
"URL","http://w7oaer.infocloudgruposolucaoecia.link//inc.php?/gruposolucaoeciainfocloud",""
"hostname","ahaaer.pfktaacgojiozfehwkkimhkbkm.cfd",""
"hostname","cteasc.ijnkwnkxeguxaxmldwyogggwfk.sbs",""
"hostname","hcu11m2mkk2.rouepcgomfhejergdahjcfcugarfcmoa.tk",""
"hostname","j2vfrc7gddo.aeabihjpejprueuibdjmhfmdcpsfr.gq",""
"hostname","w7oaer.infocloudgruposolucaoecia.link",""
